scenario_id,env_id,prior_env_id,filter_env_id,switch_env_id,switch_at,actions,actions_used,tau_s,epsilon,rep,method,reward_mode,cost_unit,constraint_ci,constraint_delta,init_strategy,avg_cost,violation_rate,violations_first_100,violations_last_100,violations_after_switch,after_switch_k,violations_first_after_switch_k,safe_set_empty_rate,safe_set_size_mean,filter_margin,filter_prior_weight,filter_reset_on_switch,distinct_actions_pulled,regret_vs_oracle,pull_100,pull_500,pull_1000,pull_2000
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,5,safe_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3367.080439437201,0.006,1.0,0.0,,50,,0.041123370110330994,0.958876629889669,,,,3,2273168.43719374,998,1,1,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000",1.0,0.1,5,filter_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1095.3360466034287,0.072,8.0,3.0,,50,,,,,,,3,1424.0443599675782,2,1,997,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,5,ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1078.628775711,0.45,25.0,45.0,,50,,,,,,,4,-15283.226532461122,2,1,55,942
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,5,fixed_ccs,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1093.912002243461,0.072,8.0,3.0,,50,,,,,,,1,0.0,0,0,1000,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,5,oracle,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1093.912002243461,0.072,8.0,3.0,,50,,,,,,,1,0.0,0,0,1000,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,E1_scan90_stress_v5,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,5,filter_ucb_online_w1_m0_r0,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3371.7359483593696,0.006,1.0,0.0,,50,,0.041,0.959,0.0,1.0,0,1,2277823.9461159087,1000,0,0,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,6,safe_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3304.4444794889655,0.004,0.0,3.0,,50,,0.024072216649949848,0.9759277833500501,,,,3,2217331.7396803154,998,1,1,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000",1.0,0.1,6,filter_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1089.0205106474887,0.054,2.0,9.0,,50,,,,,,,3,1907.7708388383035,1,1,998,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,6,ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1074.1057464865128,0.416,28.0,44.0,,50,,,,,,,4,-13006.993322137743,1,1,1,997
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,6,fixed_ccs,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1087.1127398086505,0.054,2.0,9.0,,50,,,,,,,1,0.0,0,0,1000,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,6,oracle,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1087.1127398086505,0.054,2.0,9.0,,50,,,,,,,1,0.0,0,0,1000,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,E1_scan90_stress_v5,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,6,filter_ucb_online_w1_m0_r0,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3309.1855136892223,0.004,0.0,3.0,,50,,0.023,0.977,0.0,1.0,0,1,2222072.773880572,1000,0,0,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,7,safe_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3347.681178301669,0.007,1.0,2.0,,50,,0.024072216649949848,0.9759277833500501,,,,3,2255698.7266698214,998,1,1,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000",1.0,0.1,7,filter_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1095.7151106649314,0.049,7.0,9.0,,50,,,,,,,3,3732.6590330835897,1,1,998,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,7,ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1078.5053372958137,0.465,46.0,47.0,,50,,,,,,,4,-13477.11433603405,1,1,1,997
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,7,fixed_ccs,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1091.9824516318479,0.05,8.0,9.0,,50,,,,,,,1,0.0,0,0,1000,0
