scenario_id,method,env_id,prior_env_id,filter_env_id,switch_env_id,switch_at,after_switch_k,actions,actions_used,tau_s,epsilon,reward_mode,cost_unit,constraint_ci,constraint_delta,init_strategy,filter_margin,filter_prior_weight,filter_reset_on_switch,avg_cost_mean,avg_cost_std,violation_rate_mean,violation_rate_std,violations_first_100_mean,violations_first_100_std,violations_last_100_mean,violations_last_100_std,violations_after_switch_mean,violations_after_switch_std,violations_first_after_switch_k_mean,violations_first_after_switch_k_std,safe_set_empty_rate_mean,safe_set_empty_rate_std,safe_set_size_mean_mean,safe_set_size_mean_std,distinct_actions_pulled_mean,distinct_actions_pulled_std,pull_100_mean,pull_1000_mean,pull_2000_mean,pull_500_mean,regret_vs_oracle_mean,regret_vs_oracle_std,n_reps
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w0_m0_r1,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.0,0.0,1,1515.3998368280422,8.436709832082496,0.01582,0.0038596069303188972,3.27,1.8026635736032277,0.0,0.0,0.0,0.0,0.0,0.0,0.08814999999999999,0.0373572366659143,0.91185,0.0373572366659143,1.0,0.0,0.0,0.0,0.0,1000.0,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w1_m0.01_r0,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.01,1.0,0,1515.3998368280422,8.436709832082496,0.01582,0.0038596069303188972,3.27,1.8026635736032277,0.0,0.0,0.0,0.0,0.0,0.0,0.07894,0.048100866243066066,0.92106,0.04810086624306604,1.0,0.0,0.0,0.0,0.0,1000.0,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w1_m0.01_r1,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.01,1.0,1,1515.3998368280422,8.436709832082496,0.01582,0.0038596069303188972,3.27,1.8026635736032277,0.0,0.0,0.0,0.0,0.0,0.0,0.07894,0.048100866243066066,0.92106,0.04810086624306604,1.0,0.0,0.0,0.0,0.0,1000.0,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w1_m0.02_r0,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.02,1.0,0,1515.3998368280422,8.436709832082496,0.01582,0.0038596069303188972,3.27,1.8026635736032277,0.0,0.0,0.0,0.0,0.0,0.0,0.10404999999999999,0.06642507360959718,0.89595,0.06642507360959718,1.0,0.0,0.0,0.0,0.0,1000.0,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w1_m0.02_r1,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.02,1.0,1,1515.3998368280422,8.436709832082496,0.01582,0.0038596069303188972,3.27,1.8026635736032277,0.0,0.0,0.0,0.0,0.0,0.0,0.10404999999999999,0.06642507360959718,0.89595,0.06642507360959718,1.0,0.0,0.0,0.0,0.0,1000.0,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w1_m0.03_r0,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.03,1.0,0,1515.3998368280422,8.436709832082496,0.01582,0.0038596069303188972,3.27,1.8026635736032277,0.0,0.0,0.0,0.0,0.0,0.0,0.14281,0.09774370681646069,0.8571899999999999,0.09774370681646068,1.0,0.0,0.0,0.0,0.0,1000.0,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w1_m0.03_r1,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.03,1.0,1,1515.3998368280422,8.436709832082496,0.01582,0.0038596069303188972,3.27,1.8026635736032277,0.0,0.0,0.0,0.0,0.0,0.0,0.14281,0.09774370681646069,0.8571899999999999,0.09774370681646068,1.0,0.0,0.0,0.0,0.0,1000.0,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w1_m0_r0,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.0,1.0,0,1515.3998368280422,8.436709832082496,0.01582,0.0038596069303188972,3.27,1.8026635736032277,0.0,0.0,0.0,0.0,0.0,0.0,0.06091,0.03685491483472385,0.9390900000000001,0.03685491483472384,1.0,0.0,0.0,0.0,0.0,1000.0,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w1_m0_r1,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.0,1.0,1,1515.3998368280422,8.436709832082496,0.01582,0.0038596069303188972,3.27,1.8026635736032277,0.0,0.0,0.0,0.0,0.0,0.0,0.06091,0.03685491483472385,0.9390900000000001,0.03685491483472384,1.0,0.0,0.0,0.0,0.0,1000.0,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,fixed_ccs,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,,,,1093.5709150228722,4.958449996469031,0.08484,0.00946734952722815,6.04,2.3308211584605267,10.81,3.237079991085619,55.51,7.156963127760352,5.75,2.0713290516970106,,,,,1.0,0.0,0.0,1000.0,0.0,0.0,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,oracle,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,,,,1093.5709150228722,4.958449996469031,0.08484,0.00946734952722815,6.04,2.3308211584605267,10.81,3.237079991085619,55.51,7.156963127760352,5.75,2.0713290516970106,,,,,1.0,0.0,0.0,1000.0,0.0,0.0,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,safe_ucb,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,,,,1514.9701878898363,8.442206130557468,0.01584,0.0038683381966989902,3.29,1.81071446359907,0.0,0.0,0.0,0.0,0.0,0.0,0.06317635270541082,0.03770313486974882,0.9368236472945891,0.0377031348697488,2.0,0.0,0.0,1.0,0.0,999.0,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,ucb,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,,,,1078.8024358667174,7.036084903771253,0.42936,0.15046523945027399,35.88,14.945206319057355,47.98,17.038862294262145,240.45,80.97591299175629,23.61,8.637357199626479,,,,,3.0,0.0,0.0,165.44,833.46,1.1,,,100
E2_actions_500_1000_2000_cold,filter_ucb,E2_fixed_v01,,,,,50,"500,1000,2000",500,1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,,,,1515.3998368280422,8.436709832082496,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,100
E2_actions_500_1000_2000_cold,filter_ucb_online_w1_m0_r0,E2_fixed_v01,,E2_fixed_v01,,,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.0,1.0,0,1515.3998368280422,8.436709832082496,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.02,0.0,0.98,0.0,1.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,100
E2_actions_500_1000_2000_cold,fixed_ccs,E2_fixed_v01,,,,,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,,,,1093.5709150228722,4.958449996469031,0.11279,0.009993224977680902,11.47,2.999848481022151,10.81,3.237079991085619,,,,,,,,,1.0,0.0,0.0,1000.0,0.0,0.0,-421828.9218051698,3478.259835613417,100
E2_actions_500_1000_2000_cold,oracle,E2_fixed_v01,,,,,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,,,,1515.3998368280422,8.436709832082496,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,100
