ms,event,rssi,seq,label,addr,mfd,program_id
# meta, firmware=RX_UCCS_D4B_SCAN70, buf_size=512
# meta, scan_interval_ms=100.0, scan_window_ms=70.0
# condition_label=U4-10-100
76975,ADV,-34,888,U4-04-100,e0:5a:1b:15:b2:ee,888_U4-04-100,RX_UCCS_D4B_SCAN70_v1
77404,ADV,-34,892,U4-04-100,e0:5a:1b:15:b2:ee,892_U4-04-100,RX_UCCS_D4B_SCAN70_v1
78037,ADV,-39,899,U4-04-100,e0:5a:1b:15:b2:ee,899_U4-04-100,RX_UCCS_D4B_SCAN70_v1
78843,ADV,-34,907,U4-04-500,e0:5a:1b:15:b2:ee,907_U4-04-500,RX_UCCS_D4B_SCAN70_v1
79848,ADV,-34,917,U4-04-500,e0:5a:1b:15:b2:ee,917_U4-04-500,RX_UCCS_D4B_SCAN70_v1
81365,ADV,-39,932,U4-04-500,e0:5a:1b:15:b2:ee,932_U4-04-500,RX_UCCS_D4B_SCAN70_v1
81889,ADV,-40,937,U4-04-500,e0:5a:1b:15:b2:ee,937_U4-04-500,RX_UCCS_D4B_SCAN70_v1
82368,ADV,-40,942,U4-04-500,e0:5a:1b:15:b2:ee,942_U4-04-500,RX_UCCS_D4B_SCAN70_v1
83380,ADV,-40,952,U4-04-500,e0:5a:1b:15:b2:ee,952_U4-04-500,RX_UCCS_D4B_SCAN70_v1
84640,ADV,-34,965,U4-06-100,e0:5a:1b:15:b2:ee,965_U4-06-100,RX_UCCS_D4B_SCAN70_v1
85374,ADV,-35,972,U4-06-100,e0:5a:1b:15:b2:ee,972_U4-06-100,RX_UCCS_D4B_SCAN70_v1
85916,ADV,-35,977,U4-06-100,e0:5a:1b:15:b2:ee,977_U4-06-100,RX_UCCS_D4B_SCAN70_v1
86324,ADV,-35,982,U4-06-100,e0:5a:1b:15:b2:ee,982_U4-06-100,RX_UCCS_D4B_SCAN70_v1
86639,ADV,-40,985,U4-06-100,e0:5a:1b:15:b2:ee,985_U4-06-100,RX_UCCS_D4B_SCAN70_v1
87370,ADV,-35,992,U4-06-100,e0:5a:1b:15:b2:ee,992_U4-06-100,RX_UCCS_D4B_SCAN70_v1
87681,ADV,-40,995,U4-06-100,e0:5a:1b:15:b2:ee,995_U4-06-100,RX_UCCS_D4B_SCAN70_v1
88323,ADV,-35,1002,U4-06-100,e0:5a:1b:15:b2:ee,1002_U4-06-100,RX_UCCS_D4B_SCAN70_v1
88975,ADV,-35,1008,U4-06-100,e0:5a:1b:15:b2:ee,1008_U4-06-100,RX_UCCS_D4B_SCAN70_v1
90043,ADV,-38,1019,U4-06-500,e0:5a:1b:15:b2:ee,1019_U4-06-500,RX_UCCS_D4B_SCAN70_v1
91062,ADV,-38,1029,U4-06-500,e0:5a:1b:15:b2:ee,1029_U4-06-500,RX_UCCS_D4B_SCAN70_v1
91836,ADV,-35,1037,U4-05-100,e0:5a:1b:15:b2:ee,1037_U4-05-100,RX_UCCS_D4B_SCAN70_v1
92492,ADV,-38,1043,U4-05-100,e0:5a:1b:15:b2:ee,1043_U4-05-100,RX_UCCS_D4B_SCAN70_v1
93115,ADV,-35,1049,U4-05-100,e0:5a:1b:15:b2:ee,1049_U4-05-100,RX_UCCS_D4B_SCAN70_v1
93541,ADV,-35,1054,U4-05-100,e0:5a:1b:15:b2:ee,1054_U4-05-100,RX_UCCS_D4B_SCAN70_v1
93845,ADV,-38,1057,U4-09-100,e0:5a:1b:15:b2:ee,1057_U4-09-100,RX_UCCS_D4B_SCAN70_v1
94248,ADV,-35,1061,U4-09-100,e0:5a:1b:15:b2:ee,1061_U4-09-100,RX_UCCS_D4B_SCAN70_v1
94671,ADV,-35,1065,U4-09-100,e0:5a:1b:15:b2:ee,1065_U4-09-100,RX_UCCS_D4B_SCAN70_v1
95190,ADV,-35,1070,U4-09-100,e0:5a:1b:15:b2:ee,1070_U4-09-100,RX_UCCS_D4B_SCAN70_v1
95615,ADV,-35,1074,U4-09-100,e0:5a:1b:15:b2:ee,1074_U4-09-100,RX_UCCS_D4B_SCAN70_v1
96136,ADV,-34,1080,U4-09-100,e0:5a:1b:15:b2:ee,1080_U4-09-100,RX_UCCS_D4B_SCAN70_v1
96778,ADV,-40,1086,U4-09-100,e0:5a:1b:15:b2:ee,1086_U4-09-100,RX_UCCS_D4B_SCAN70_v1
97402,ADV,-36,1092,U4-02-100,e0:5a:1b:15:b2:ee,1092_U4-02-100,RX_UCCS_D4B_SCAN70_v1
