ms,event,rssi,seq,label,addr,mfd,program_id
# meta, firmware=RX_UCCS_D3_SCAN70, buf_size=512
# meta, scan_interval_ms=100.0, scan_window_ms=70.0
# condition_label=F4-00-500
61440,ADV,-36,620,F4-07-500,e0:5a:1b:15:b2:ee,620_F4-07-500,RX_UCCS_D3_SCAN70_v1
62436,ADV,-36,630,F4-07-500,e0:5a:1b:15:b2:ee,630_F4-07-500,RX_UCCS_D3_SCAN70_v1
62954,ADV,-36,635,F4-07-500,e0:5a:1b:15:b2:ee,635_F4-07-500,RX_UCCS_D3_SCAN70_v1
64463,ADV,-35,650,F4-03-500,e0:5a:1b:15:b2:ee,650_F4-03-500,RX_UCCS_D3_SCAN70_v1
65479,ADV,-34,660,F4-03-500,e0:5a:1b:15:b2:ee,660_F4-03-500,RX_UCCS_D3_SCAN70_v1
67506,ADV,-62,680,F4-09-500,e0:5a:1b:15:b2:ee,680_F4-09-500,RX_UCCS_D3_SCAN70_v1
68509,ADV,-60,690,F4-09-500,e0:5a:1b:15:b2:ee,690_F4-09-500,RX_UCCS_D3_SCAN70_v1
69017,ADV,-61,695,F4-09-500,e0:5a:1b:15:b2:ee,695_F4-09-500,RX_UCCS_D3_SCAN70_v1
71036,ADV,-36,715,F4-08-500,e0:5a:1b:15:b2:ee,715_F4-08-500,RX_UCCS_D3_SCAN70_v1
72060,ADV,-36,725,F4-07-500,e0:5a:1b:15:b2:ee,725_F4-07-500,RX_UCCS_D3_SCAN70_v1
73585,ADV,-35,740,F4-07-500,e0:5a:1b:15:b2:ee,740_F4-07-500,RX_UCCS_D3_SCAN70_v1
74583,ADV,-34,750,F4-07-500,e0:5a:1b:15:b2:ee,750_F4-07-500,RX_UCCS_D3_SCAN70_v1
75088,ADV,-35,755,F4-07-500,e0:5a:1b:15:b2:ee,755_F4-07-500,RX_UCCS_D3_SCAN70_v1
75594,ADV,-34,760,F4-07-500,e0:5a:1b:15:b2:ee,760_F4-07-500,RX_UCCS_D3_SCAN70_v1
77110,ADV,-62,775,F4-00-500,e0:5a:1b:15:b2:ee,775_F4-00-500,RX_UCCS_D3_SCAN70_v1
78129,ADV,-62,785,F4-00-500,e0:5a:1b:15:b2:ee,785_F4-00-500,RX_UCCS_D3_SCAN70_v1
80661,ADV,-35,810,F4-07-500,e0:5a:1b:15:b2:ee,810_F4-07-500,RX_UCCS_D3_SCAN70_v1
81681,ADV,-36,820,F4-07-500,e0:5a:1b:15:b2:ee,820_F4-07-500,RX_UCCS_D3_SCAN70_v1
83190,ADV,-35,835,F4-07-500,e0:5a:1b:15:b2:ee,835_F4-07-500,RX_UCCS_D3_SCAN70_v1
84203,ADV,-34,845,F4-07-500,e0:5a:1b:15:b2:ee,845_F4-07-500,RX_UCCS_D3_SCAN70_v1
86216,ADV,-61,865,F4-04-500,e0:5a:1b:15:b2:ee,865_F4-04-500,RX_UCCS_D3_SCAN70_v1
87222,ADV,-63,875,F4-04-500,e0:5a:1b:15:b2:ee,875_F4-04-500,RX_UCCS_D3_SCAN70_v1
88229,ADV,-61,885,F4-04-500,e0:5a:1b:15:b2:ee,885_F4-04-500,RX_UCCS_D3_SCAN70_v1
89745,ADV,-36,900,F4-04-500,e0:5a:1b:15:b2:ee,900_F4-04-500,RX_UCCS_D3_SCAN70_v1
90755,ADV,-36,910,F4-04-500,e0:5a:1b:15:b2:ee,910_F4-04-500,RX_UCCS_D3_SCAN70_v1
92783,ADV,-35,930,F4-04-500,e0:5a:1b:15:b2:ee,930_F4-04-500,RX_UCCS_D3_SCAN70_v1
93292,ADV,-34,935,F4-04-500,e0:5a:1b:15:b2:ee,935_F4-04-500,RX_UCCS_D3_SCAN70_v1
94293,ADV,-34,945,F4-04-500,e0:5a:1b:15:b2:ee,945_F4-04-500,RX_UCCS_D3_SCAN70_v1
