ms,mV,uA,p_mW,program_id
# meta, firmware=TXSD_UCCS_D4B_SCAN70, cond_id=1, cond_id_raw=1, tag=s4_fixed100, subject=uccs_d4b_scan70
139021,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
139031,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
139041,4924,55800,274.8,TXSD_UCCS_D4B_SCAN70_v1
139051,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
139061,4924,55700,274.3,TXSD_UCCS_D4B_SCAN70_v1
139071,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
139081,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
139091,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
139101,4776,140800,672.5,TXSD_UCCS_D4B_SCAN70_v1
139111,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
139121,4924,55900,275.3,TXSD_UCCS_D4B_SCAN70_v1
139131,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
139141,4924,55800,274.8,TXSD_UCCS_D4B_SCAN70_v1
139152,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
139161,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
139171,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
139181,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
139191,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
139201,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
139211,4788,199300,954.2,TXSD_UCCS_D4B_SCAN70_v1
139221,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
139231,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
139241,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
139251,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
139261,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
139271,4924,55700,274.3,TXSD_UCCS_D4B_SCAN70_v1
139281,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
139291,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
139301,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
139311,4772,138900,662.8,TXSD_UCCS_D4B_SCAN70_v1
139321,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
139331,4924,56400,277.7,TXSD_UCCS_D4B_SCAN70_v1
139341,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
139351,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
139361,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
139371,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
139381,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
139391,4928,56500,278.4,TXSD_UCCS_D4B_SCAN70_v1
139401,4924,55800,274.8,TXSD_UCCS_D4B_SCAN70_v1
139411,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
139421,4788,152500,730.2,TXSD_UCCS_D4B_SCAN70_v1
139431,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
139441,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
139451,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
139461,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
139471,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
139481,4924,55800,274.8,TXSD_UCCS_D4B_SCAN70_v1
139491,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
139501,4928,56500,278.4,TXSD_UCCS_D4B_SCAN70_v1
139511,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
139521,4776,141100,673.9,TXSD_UCCS_D4B_SCAN70_v1
139531,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
139541,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
139551,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
139561,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
139571,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
139581,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
139591,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
139601,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
139611,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
139621,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
139631,4776,55800,266.5,TXSD_UCCS_D4B_SCAN70_v1
139641,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
139651,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
139661,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
139671,4924,55800,274.8,TXSD_UCCS_D4B_SCAN70_v1
139681,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
139691,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
139701,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
139711,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
139721,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
139731,4684,133800,626.7,TXSD_UCCS_D4B_SCAN70_v1
139741,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
139751,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
139761,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
139771,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
139781,4924,55800,274.8,TXSD_UCCS_D4B_SCAN70_v1
139791,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
139801,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
139811,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
139821,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
139831,4760,141000,671.2,TXSD_UCCS_D4B_SCAN70_v1
139841,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
139851,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
139861,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
139871,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
139881,4928,56500,278.4,TXSD_UCCS_D4B_SCAN70_v1
139891,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
139901,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
139911,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
139921,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
139931,4928,135800,669.2,TXSD_UCCS_D4B_SCAN70_v1
139941,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
139951,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
139961,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
139971,4924,55800,274.8,TXSD_UCCS_D4B_SCAN70_v1
139982,4928,57400,282.9,TXSD_UCCS_D4B_SCAN70_v1
139991,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
140001,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
140011,4928,55900,275.5,TXSD_UCCS_D4B_SCAN70_v1
140021,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
140031,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
140041,4764,141600,674.6,TXSD_UCCS_D4B_SCAN70_v1
140051,4928,56500,278.4,TXSD_UCCS_D4B_SCAN70_v1
140061,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
140071,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
140081,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
140091,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
140101,4924,55800,274.8,TXSD_UCCS_D4B_SCAN70_v1
140111,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
140121,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
140131,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
140141,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
140151,4636,145800,675.9,TXSD_UCCS_D4B_SCAN70_v1
140161,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
140171,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
140181,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
140191,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
140201,4924,56200,276.7,TXSD_UCCS_D4B_SCAN70_v1
140211,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
140221,4928,56500,278.4,TXSD_UCCS_D4B_SCAN70_v1
