ms,mV,uA,p_mW,program_id
# meta, firmware=TXSD_UCCS_D4B_SCAN70, cond_id=4, cond_id_raw=4, tag=s4_ablation_ccs_off, subject=uccs_d4b_scan70
# meta, ablation=ccs_off policy=U_only actions{100,500} u_mid=0.20 u_high=0.35 hyst=0.02 ema_alpha=0.20
54540,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
54550,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
54560,4924,55700,274.3,TXSD_UCCS_D4B_SCAN70_v1
54570,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
54580,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
54590,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
54600,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
54610,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
54620,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
54630,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
54640,4924,55700,274.3,TXSD_UCCS_D4B_SCAN70_v1
54650,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
54660,4924,56300,277.2,TXSD_UCCS_D4B_SCAN70_v1
54670,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
54680,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
54690,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
54700,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
54710,4928,55600,274.0,TXSD_UCCS_D4B_SCAN70_v1
54720,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
54730,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
54740,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
54750,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
54760,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
54770,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
54780,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
54790,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
54800,4928,59600,293.7,TXSD_UCCS_D4B_SCAN70_v1
54811,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
54820,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
54830,4924,55900,275.3,TXSD_UCCS_D4B_SCAN70_v1
54840,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
54850,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
54860,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
54870,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
54880,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
54890,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
54900,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
54910,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
54920,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
54930,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
54940,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
54950,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
54960,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
54970,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
54980,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
54990,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
55000,4924,55700,274.3,TXSD_UCCS_D4B_SCAN70_v1
55010,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
55020,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
55030,4928,56000,276.0,TXSD_UCCS_D4B_SCAN70_v1
55040,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
55050,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
55060,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
55070,4924,55700,274.3,TXSD_UCCS_D4B_SCAN70_v1
55080,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
55090,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
55100,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
55110,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
55120,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
55130,4928,55600,274.0,TXSD_UCCS_D4B_SCAN70_v1
55140,4932,56700,279.6,TXSD_UCCS_D4B_SCAN70_v1
55150,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
55160,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
55170,4924,55700,274.3,TXSD_UCCS_D4B_SCAN70_v1
55180,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
55190,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
55200,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
55210,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
55220,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
55230,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
55240,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
55250,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
55260,4928,55600,274.0,TXSD_UCCS_D4B_SCAN70_v1
55270,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
55280,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
55290,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
55300,4928,55600,274.0,TXSD_UCCS_D4B_SCAN70_v1
55310,4772,141900,677.1,TXSD_UCCS_D4B_SCAN70_v1
55320,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
55330,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
55340,4924,55800,274.8,TXSD_UCCS_D4B_SCAN70_v1
55350,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
55360,4924,56200,276.7,TXSD_UCCS_D4B_SCAN70_v1
