prog_id,ms,mV,uA,p_mW
# meta, firmware=TXSD_DeltaE_V3_OFF, program_id=TXSD_DELTAE_V3_OFF_20260114, trial_index=auto, adv_interval_ms=0
TXSD_DELTAE_V3_OFF_20260114,2031,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,2041,3160,51900,164.0
TXSD_DELTAE_V3_OFF_20260114,2051,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,2061,3164,52100,164.8
TXSD_DELTAE_V3_OFF_20260114,2071,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,2081,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,2091,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,2101,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,2111,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,2121,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,2131,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,2141,3160,51800,163.7
TXSD_DELTAE_V3_OFF_20260114,2151,3160,51400,162.4
TXSD_DELTAE_V3_OFF_20260114,2161,3160,51400,162.4
TXSD_DELTAE_V3_OFF_20260114,2171,3160,51800,163.7
TXSD_DELTAE_V3_OFF_20260114,2181,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,2191,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,2201,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,2211,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,2221,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,2231,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,2241,3156,50900,160.6
TXSD_DELTAE_V3_OFF_20260114,2251,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,2261,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,2271,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,2281,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,2291,3160,51700,163.4
TXSD_DELTAE_V3_OFF_20260114,2301,3156,51600,162.8
TXSD_DELTAE_V3_OFF_20260114,2311,3156,51400,162.2
TXSD_DELTAE_V3_OFF_20260114,2321,3160,51900,164.0
TXSD_DELTAE_V3_OFF_20260114,2331,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,2341,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,2351,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,2361,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,2371,3156,50900,160.6
TXSD_DELTAE_V3_OFF_20260114,2381,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,2391,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,2401,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,2411,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,2421,3160,51900,164.0
TXSD_DELTAE_V3_OFF_20260114,2431,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,2441,3160,51600,163.1
TXSD_DELTAE_V3_OFF_20260114,2451,3160,51800,163.7
TXSD_DELTAE_V3_OFF_20260114,2461,3160,51300,162.1
TXSD_DELTAE_V3_OFF_20260114,2471,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,2481,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,2491,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,2501,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,2511,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,2521,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,2531,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,2541,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,2551,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,2561,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,2571,3160,51800,163.7
TXSD_DELTAE_V3_OFF_20260114,2581,3156,51500,162.5
TXSD_DELTAE_V3_OFF_20260114,2591,3160,51500,162.7
TXSD_DELTAE_V3_OFF_20260114,2601,3156,51800,163.5
TXSD_DELTAE_V3_OFF_20260114,2611,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,2621,3160,51900,164.0
TXSD_DELTAE_V3_OFF_20260114,2631,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,2641,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,2651,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,2661,3160,52300,165.3
TXSD_DELTAE_V3_OFF_20260114,2671,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,2681,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,2691,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,2701,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,2711,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,2721,3160,51600,163.1
TXSD_DELTAE_V3_OFF_20260114,2731,3156,51600,162.8
TXSD_DELTAE_V3_OFF_20260114,2741,3160,51400,162.4
TXSD_DELTAE_V3_OFF_20260114,2751,3160,51900,164.0
TXSD_DELTAE_V3_OFF_20260114,2761,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,2771,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,2781,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,2791,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,2801,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,2811,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,2821,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,2831,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,2841,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,2851,3160,51900,164.0
TXSD_DELTAE_V3_OFF_20260114,2861,3156,51400,162.2
TXSD_DELTAE_V3_OFF_20260114,2871,3160,51500,162.7
TXSD_DELTAE_V3_OFF_20260114,2881,3160,51700,163.4
TXSD_DELTAE_V3_OFF_20260114,2891,3156,51400,162.2
TXSD_DELTAE_V3_OFF_20260114,2901,3160,51900,164.0
TXSD_DELTAE_V3_OFF_20260114,2911,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,2921,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,2931,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,2941,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,2951,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,2961,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,2971,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,2981,3160,52000,164.3
