ms,event,rssi,seq,label,addr,mfd
# meta, firmware=RX_MODEC2P_1202, buf_size=512
476631,ADV,-55,61,1,e0:5a:1b:15:c4:ca,0061_1
476944,ADV,-62,61,1,e0:5a:1b:15:c4:ca,0061_1
477156,ADV,-49,62,2,e0:5a:1b:15:c4:ca,0062_2
477259,ADV,-62,62,2,e0:5a:1b:15:c4:ca,0062_2
477470,ADV,-50,62,2,e0:5a:1b:15:c4:ca,0062_2
477571,ADV,-62,62,2,e0:5a:1b:15:c4:ca,0062_2
477781,ADV,-50,63,0,e0:5a:1b:15:c4:ca,0063_0
477991,ADV,-51,63,0,e0:5a:1b:15:c4:ca,0063_0
478095,ADV,-52,63,0,e0:5a:1b:15:c4:ca,0063_0
478424,ADV,-54,64,1,e0:5a:1b:15:c4:ca,0064_1
478622,ADV,-61,65,2,e0:5a:1b:15:c4:ca,0065_2
478829,ADV,-50,65,2,e0:5a:1b:15:c4:ca,0065_2
478941,ADV,-62,65,2,e0:5a:1b:15:c4:ca,0065_2
479153,ADV,-54,66,0,e0:5a:1b:15:c4:ca,0066_0
479358,ADV,-61,66,0,e0:5a:1b:15:c4:ca,0066_0
479566,ADV,-50,66,0,e0:5a:1b:15:c4:ca,0066_0
479777,ADV,-55,67,1,e0:5a:1b:15:c4:ca,0067_1
479885,ADV,-49,67,1,e0:5a:1b:15:c4:ca,0067_1
480088,ADV,-55,67,1,e0:5a:1b:15:c4:ca,0067_1
480304,ADV,-50,68,2,e0:5a:1b:15:c4:ca,0068_2
480611,ADV,-49,68,2,e0:5a:1b:15:c4:ca,0068_2
480819,ADV,-55,69,0,e0:5a:1b:15:c4:ca,0069_0
480921,ADV,-49,69,0,e0:5a:1b:15:c4:ca,0069_0
481141,ADV,-55,70,0,e0:5a:1b:15:c4:ca,0070_0
481346,ADV,-49,70,0,e0:5a:1b:15:c4:ca,0070_0
481452,ADV,-61,70,0,e0:5a:1b:15:c4:ca,0070_0
481557,ADV,-54,70,0,e0:5a:1b:15:c4:ca,0070_0
481769,ADV,-61,71,1,e0:5a:1b:15:c4:ca,0071_1
481976,ADV,-49,71,1,e0:5a:1b:15:c4:ca,0071_1
482087,ADV,-62,71,1,e0:5a:1b:15:c4:ca,0071_1
482295,ADV,-54,72,2,e0:5a:1b:15:c4:ca,0072_2
482505,ADV,-62,72,2,e0:5a:1b:15:c4:ca,0072_2
482708,ADV,-49,73,0,e0:5a:1b:15:c4:ca,0073_0
482934,ADV,-54,73,0,e0:5a:1b:15:c4:ca,0073_0
483141,ADV,-62,74,1,e0:5a:1b:15:c4:ca,0074_1
483341,ADV,-49,74,1,e0:5a:1b:15:c4:ca,0074_1
483445,ADV,-49,74,1,e0:5a:1b:15:c4:ca,0074_1
483665,ADV,-54,75,2,e0:5a:1b:15:c4:ca,0075_2
483870,ADV,-62,75,2,e0:5a:1b:15:c4:ca,0075_2
483971,ADV,-54,75,2,e0:5a:1b:15:c4:ca,0075_2
484184,ADV,-61,76,0,e0:5a:1b:15:c4:ca,0076_0
484287,ADV,-54,76,0,e0:5a:1b:15:c4:ca,0076_0
484497,ADV,-49,76,0,e0:5a:1b:15:c4:ca,0076_0
484602,ADV,-61,76,0,e0:5a:1b:15:c4:ca,0076_0
484713,ADV,-54,77,1,e0:5a:1b:15:c4:ca,0077_1
484807,ADV,-49,77,1,e0:5a:1b:15:c4:ca,0077_1
484917,ADV,-61,77,1,e0:5a:1b:15:c4:ca,0077_1
485124,ADV,-50,78,2,e0:5a:1b:15:c4:ca,0078_2
485232,ADV,-62,78,2,e0:5a:1b:15:c4:ca,0078_2
485441,ADV,-50,78,2,e0:5a:1b:15:c4:ca,0078_2
485653,ADV,-61,79,0,e0:5a:1b:15:c4:ca,0079_0
485868,ADV,-50,79,0,e0:5a:1b:15:c4:ca,0079_0
486077,ADV,-55,79,0,e0:5a:1b:15:c4:ca,0079_0
486291,ADV,-60,80,0,e0:5a:1b:15:c4:ca,0080_0
486396,ADV,-59,80,0,e0:5a:1b:15:c4:ca,0080_0
486605,ADV,-50,80,0,e0:5a:1b:15:c4:ca,0080_0
486809,ADV,-55,81,1,e0:5a:1b:15:c4:ca,0081_1
486923,ADV,-50,81,1,e0:5a:1b:15:c4:ca,0081_1
487041,ADV,-60,81,1,e0:5a:1b:15:c4:ca,0081_1
487244,ADV,-52,82,2,e0:5a:1b:15:c4:ca,0082_2
487463,ADV,-60,82,2,e0:5a:1b:15:c4:ca,0082_2
487791,ADV,-60,83,0,e0:5a:1b:15:c4:ca,0083_0
487981,ADV,-50,83,0,e0:5a:1b:15:c4:ca,0083_0
488189,ADV,-55,84,1,e0:5a:1b:15:c4:ca,0084_1
488395,ADV,-49,84,1,e0:5a:1b:15:c4:ca,0084_1
488607,ADV,-55,85,2,e0:5a:1b:15:c4:ca,0085_2
488819,ADV,-61,85,2,e0:5a:1b:15:c4:ca,0085_2
489027,ADV,-49,85,2,e0:5a:1b:15:c4:ca,0085_2
489241,ADV,-55,86,0,e0:5a:1b:15:c4:ca,0086_0
489552,ADV,-60,86,0,e0:5a:1b:15:c4:ca,0086_0
489754,ADV,-50,87,1,e0:5a:1b:15:c4:ca,0087_1
489865,ADV,-60,87,1,e0:5a:1b:15:c4:ca,0087_1
489964,ADV,-55,87,1,e0:5a:1b:15:c4:ca,0087_1
490183,ADV,-60,88,2,e0:5a:1b:15:c4:ca,0088_2
490603,ADV,-59,88,2,e0:5a:1b:15:c4:ca,0088_2
