scenario_id,env_id,prior_env_id,actions,tau_s,epsilon,rep,method,avg_energy_uJ_event,violation_rate,violations_first_100,regret_vs_oracle
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,24,ucb,12748.132021604852,0.0,0.0,27950.373781541362
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,24,fixed_ccs,18033.03403848693,0.106,9.0,5312852.390663622
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,24,oracle,12720.18164782331,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,25,safe_ucb,12613.18841169055,0.0,0.0,27342.588746201247
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,25,ucb,12613.18841169055,0.0,0.0,27342.588746201247
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,25,fixed_ccs,17878.487508210026,0.117,9.0,5292641.685265677
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,25,oracle,12585.84582294435,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,26,safe_ucb,12640.132638236348,0.0,0.0,27222.10225619003
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,26,ucb,12640.132638236348,0.0,0.0,27222.10225619003
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,26,fixed_ccs,17909.62408325535,0.103,13.0,5296713.547275189
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,26,oracle,12612.910535980158,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,27,safe_ucb,12689.760035261887,0.0,0.0,27067.599832670763
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,27,ucb,12689.760035261887,0.0,0.0,27067.599832670763
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,27,fixed_ccs,17966.895625209112,0.124,8.0,5304203.189779896
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,27,oracle,12662.692435429215,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,28,safe_ucb,12614.576011832041,0.001,1.0,27275.36957290955
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,28,ucb,12614.576011832041,0.001,1.0,27275.36957290955
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,28,fixed_ccs,17880.16120379707,0.114,13.0,5292860.561537936
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,28,oracle,12587.300642259132,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,29,safe_ucb,12737.354618757987,0.001,1.0,27527.10531985201
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,29,ucb,12737.354618757987,0.001,1.0,27527.10531985201
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,29,fixed_ccs,18021.1221337907,0.101,13.0,5311294.620352566
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,29,oracle,12709.827513438135,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,30,safe_ucb,12781.817811334307,0.002,2.0,27446.994794405997
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,30,ucb,12781.817811334307,0.002,2.0,27446.994794405997
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,30,fixed_ccs,18072.366937234998,0.131,14.0,5317996.1206950955
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,30,oracle,12754.370816539902,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,31,safe_ucb,12628.11721958474,0.0,0.0,27544.25454750657
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,31,ucb,12628.11721958474,0.0,0.0,27544.25454750657
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,31,fixed_ccs,17895.430335734993,0.112,17.0,5294857.370697761
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,31,oracle,12600.572965037232,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,32,safe_ucb,12710.72284607809,0.001,1.0,27737.754160713404
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,32,ucb,12710.72284607809,0.001,1.0,27737.754160713404
