scenario_id,env_id,switch_env_id,switch_at,tau_s,epsilon,after_switch_k,rep,method,reward_mode,cost_unit,constraint_ci,constraint_delta,init_strategy,avg_cost,violation_rate,violations_after_switch,violations_first_after_switch_k,filter_margin,filter_prior_weight,filter_reset_on_switch,pull_100,pull_500
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,5,filter_ucb_online_w0_m0.005_r1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3236.745499759177,0.062,19.0,7.0,0.005,0.0,1,928,72
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,5,filter_ucb_online_w0_m0.01_r1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3249.0374297297653,0.062,19.0,7.0,0.01,0.0,1,934,66
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,5,filter_ucb_online_w0_m0.015_r1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3371.7359483593696,0.056,13.0,1.0,0.015,0.0,1,1000,0
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,5,filter_ucb_online_w0_m0.02_r1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3371.7359483593696,0.056,13.0,1.0,0.02,0.0,1,1000,0
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,6,filter_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1505.5604070654194,0.089,49.0,3.0,,,,1,999
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,6,ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1505.5604070654194,0.089,49.0,3.0,,,,1,999
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,6,fixed_ccs,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1504.4113726172613,0.089,49.0,3.0,,,,0,1000
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,6,safe_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3307.535874208716,0.039,10.0,0.0,,,,999,1
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,6,filter_ucb_online_w0_m0_r1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1505.5604070654194,0.089,49.0,3.0,0.0,0.0,1,1,999
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,6,filter_ucb_online_w0_m0.005_r1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1505.5604070654194,0.089,49.0,3.0,0.005,0.0,1,1,999
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,6,filter_ucb_online_w0_m0.01_r1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1505.5604070654194,0.089,49.0,3.0,0.01,0.0,1,1,999
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,6,filter_ucb_online_w0_m0.015_r1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3309.1855136892223,0.039,10.0,0.0,0.015,0.0,1,1000,0
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,6,filter_ucb_online_w0_m0.02_r1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3309.1855136892223,0.039,10.0,0.0,0.02,0.0,1,1000,0
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,7,filter_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1515.3343557977712,0.093,58.0,6.0,,,,1,999
scan90_to_scan70_actions_100_500_tau2_switch_mid,E1_uccs_d4b_scan90,E1_uccs_d4b_scan70,500,2.0,0.1,50,7,ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1515.3343557977712,0.093,58.0,6.0,,,,1,999
