u_mid,u_high,share100_time,adv_count_est,switch_count,alpha_est,avg_power_est_mW,alpha_err
0.27,0.37,0.633889,1273,35,0.633889,199.481,0.101083
0.27,0.38,0.630556,1267,35,0.630556,199.418,0.104416
0.27,0.39,0.63,1267,35,0.63,199.408,0.104972
0.27,0.4,0.63,1267,35,0.63,199.408,0.104972
0.27,0.41,0.63,1267,35,0.63,199.408,0.104972
0.27,0.42,0.629444,1266,35,0.629444,199.397,0.105528
0.27,0.43,0.628889,1265,35,0.628889,199.387,0.106083
0.27,0.44,0.628889,1265,35,0.628889,199.387,0.106083
0.27,0.45,0.628889,1265,35,0.628889,199.387,0.106083
0.27,0.46,0.628889,1265,35,0.628889,199.387,0.106083
0.27,0.47,0.626667,1261,35,0.626667,199.345,0.108305
0.27,0.48,0.624444,1258,35,0.624444,199.303,0.110528
0.27,0.49,0.622222,1256,35,0.622222,199.262,0.11275
0.27,0.5,0.620556,1255,35,0.620556,199.23,0.114416
0.27,0.51,0.620556,1255,35,0.620556,199.23,0.114416
0.27,0.52,0.619444,1254,35,0.619444,199.209,0.115528
0.27,0.53,0.619444,1254,35,0.619444,199.209,0.115528
0.27,0.54,0.618889,1253,35,0.618889,199.199,0.116083
0.27,0.55,0.617778,1251,35,0.617778,199.178,0.117194
0.28,0.32,0.633333,1273,35,0.633333,199.47,0.101639
0.28,0.33,0.633333,1273,35,0.633333,199.47,0.101639
0.28,0.34,0.633333,1273,35,0.633333,199.47,0.101639
0.28,0.35,0.632222,1272,35,0.632222,199.45,0.10275
0.28,0.36,0.631111,1270,35,0.631111,199.429,0.103861
0.28,0.37,0.628333,1266,35,0.628333,199.376,0.106639
0.28,0.38,0.625,1260,35,0.625,199.314,0.109972
0.28,0.39,0.624444,1260,35,0.624444,199.303,0.110528
0.28,0.4,0.624444,1260,35,0.624444,199.303,0.110528
0.28,0.41,0.624444,1260,35,0.624444,199.303,0.110528
0.28,0.42,0.623889,1259,35,0.623889,199.293,0.111083
0.28,0.43,0.623333,1258,35,0.623333,199.282,0.111639
0.28,0.44,0.623333,1258,35,0.623333,199.282,0.111639
0.28,0.45,0.623333,1258,35,0.623333,199.282,0.111639
0.28,0.46,0.623333,1258,35,0.623333,199.282,0.111639
0.28,0.47,0.621111,1254,35,0.621111,199.241,0.113861
0.28,0.48,0.618889,1251,35,0.618889,199.199,0.116083
0.28,0.49,0.616667,1249,35,0.616667,199.157,0.118305
0.28,0.5,0.615,1248,35,0.615,199.126,0.119972
0.28,0.51,0.615,1248,35,0.615,199.126,0.119972
0.28,0.52,0.613889,1247,35,0.613889,199.105,0.121083
0.28,0.53,0.613889,1247,35,0.613889,199.105,0.121083
0.28,0.54,0.613333,1246,35,0.613333,199.094,0.121639
0.28,0.55,0.612222,1244,35,0.612222,199.074,0.12275
0.29,0.32,0.628889,1268,35,0.628889,199.387,0.106083
0.29,0.33,0.628889,1268,35,0.628889,199.387,0.106083
0.29,0.34,0.628889,1268,35,0.628889,199.387,0.106083
0.29,0.35,0.627778,1267,35,0.627778,199.366,0.107194
0.29,0.36,0.626667,1265,35,0.626667,199.345,0.108305
0.29,0.37,0.623889,1261,35,0.623889,199.293,0.111083
0.29,0.38,0.620556,1255,35,0.620556,199.23,0.114416
0.29,0.39,0.62,1255,35,0.62,199.22,0.114972
0.29,0.4,0.62,1255,35,0.62,199.22,0.114972
0.29,0.41,0.62,1255,35,0.62,199.22,0.114972
0.29,0.42,0.619444,1254,35,0.619444,199.209,0.115528
0.29,0.43,0.618889,1253,35,0.618889,199.199,0.116083
0.29,0.44,0.618889,1253,35,0.618889,199.199,0.116083
0.29,0.45,0.618889,1253,35,0.618889,199.199,0.116083
0.29,0.46,0.618889,1253,35,0.618889,199.199,0.116083
0.29,0.47,0.616667,1249,35,0.616667,199.157,0.118305
0.29,0.48,0.614444,1246,35,0.614444,199.115,0.120528
0.29,0.49,0.612222,1244,35,0.612222,199.074,0.12275
0.29,0.5,0.610556,1243,35,0.610556,199.042,0.124416
0.29,0.51,0.610556,1243,35,0.610556,199.042,0.124416
0.29,0.52,0.609444,1242,35,0.609444,199.021,0.125528
0.29,0.53,0.609444,1242,35,0.609444,199.021,0.125528
0.29,0.54,0.608889,1241,35,0.608889,199.011,0.126083
0.29,0.55,0.607778,1239,35,0.607778,198.99,0.127194
0.3,0.32,0.624444,1263,35,0.624444,199.303,0.110528
0.3,0.33,0.624444,1263,35,0.624444,199.303,0.110528
0.3,0.34,0.624444,1263,35,0.624444,199.303,0.110528
0.3,0.35,0.623333,1262,35,0.623333,199.282,0.111639
0.3,0.36,0.622222,1260,35,0.622222,199.262,0.11275
0.3,0.37,0.619444,1256,35,0.619444,199.209,0.115528
0.3,0.38,0.616111,1250,35,0.616111,199.147,0.118861
0.3,0.39,0.615556,1250,35,0.615556,199.136,0.119416
0.3,0.4,0.615556,1250,35,0.615556,199.136,0.119416
0.3,0.41,0.615556,1250,35,0.615556,199.136,0.119416
0.3,0.42,0.615,1249,35,0.615,199.126,0.119972
0.3,0.43,0.614444,1248,35,0.614444,199.115,0.120528
0.3,0.44,0.614444,1248,35,0.614444,199.115,0.120528
0.3,0.45,0.614444,1248,35,0.614444,199.115,0.120528
0.3,0.46,0.614444,1248,35,0.614444,199.115,0.120528
0.3,0.47,0.612222,1244,35,0.612222,199.074,0.12275
0.3,0.48,0.61,1241,35,0.61,199.032,0.124972
0.3,0.49,0.607778,1239,35,0.607778,198.99,0.127194
0.3,0.5,0.606111,1238,35,0.606111,198.959,0.128861
0.3,0.51,0.606111,1238,35,0.606111,198.959,0.128861
0.3,0.52,0.605,1237,35,0.605,198.938,0.129972
0.3,0.53,0.605,1237,35,0.605,198.938,0.129972
0.3,0.54,0.604444,1236,35,0.604444,198.927,0.130528
0.3,0.55,0.603333,1234,35,0.603333,198.906,0.131639
