ms,event,rssi,seq,label,addr,mfd
# meta, firmware=RX_UCCS_D4B_SCAN90, buf_size=512
# meta, scan_interval_ms=100.0, scan_window_ms=90.0
# condition_label=P4-03-100
36337,ADV,-41,359,U4-07-100,e0:5a:1b:15:c4:ca,359_U4-07-100
36542,ADV,-30,361,U4-07-100,e0:5a:1b:15:c4:ca,361_U4-07-100
36757,ADV,-32,363,U4-11-100,e0:5a:1b:15:c4:ca,363_U4-11-100
36971,ADV,-31,365,U4-11-100,e0:5a:1b:15:c4:ca,365_U4-11-100
37184,ADV,-32,367,U4-11-100,e0:5a:1b:15:c4:ca,367_U4-11-100
37406,ADV,-42,370,U4-11-100,e0:5a:1b:15:c4:ca,370_U4-11-100
37606,ADV,-32,372,U4-11-100,e0:5a:1b:15:c4:ca,372_U4-11-100
37820,ADV,-42,374,U4-11-100,e0:5a:1b:15:c4:ca,374_U4-11-100
38142,ADV,-32,377,U4-04-100,e0:5a:1b:15:c4:ca,377_U4-04-100
38446,ADV,-31,380,U4-04-100,e0:5a:1b:15:c4:ca,380_U4-04-100
38785,ADV,-41,383,U4-04-100,e0:5a:1b:15:c4:ca,383_U4-04-100
39071,ADV,-30,386,U4-04-100,e0:5a:1b:15:c4:ca,386_U4-04-100
39290,ADV,-40,388,U4-04-100,e0:5a:1b:15:c4:ca,388_U4-04-100
39502,ADV,-32,390,U4-04-100,e0:5a:1b:15:c4:ca,390_U4-04-100
39718,ADV,-42,392,U4-04-100,e0:5a:1b:15:c4:ca,392_U4-04-100
39926,ADV,-29,395,U4-04-100,e0:5a:1b:15:c4:ca,395_U4-04-100
40235,ADV,-39,398,U4-04-100,e0:5a:1b:15:c4:ca,398_U4-04-100
40448,ADV,-31,400,U4-04-100,e0:5a:1b:15:c4:ca,400_U4-04-100
40667,ADV,-43,402,U4-04-100,e0:5a:1b:15:c4:ca,402_U4-04-100
40879,ADV,-31,404,U4-04-100,e0:5a:1b:15:c4:ca,404_U4-04-100
41199,ADV,-44,407,U4-04-100,e0:5a:1b:15:c4:ca,407_U4-04-100
41415,ADV,-31,409,U4-04-100,e0:5a:1b:15:c4:ca,409_U4-04-100
41616,ADV,-41,411,U4-04-100,e0:5a:1b:15:c4:ca,411_U4-04-100
41823,ADV,-29,413,U4-04-100,e0:5a:1b:15:c4:ca,413_U4-04-100
42146,ADV,-41,416,U4-04-100,e0:5a:1b:15:c4:ca,416_U4-04-100
42455,ADV,-30,420,U4-04-100,e0:5a:1b:15:c4:ca,420_U4-04-100
43068,ADV,-45,426,U4-04-500,e0:5a:1b:15:c4:ca,426_U4-04-500
44064,ADV,-44,436,U4-10-100,e0:5a:1b:15:c4:ca,436_U4-10-100
44273,ADV,-30,438,U4-10-100,e0:5a:1b:15:c4:ca,438_U4-10-100
44482,ADV,-43,440,U4-10-100,e0:5a:1b:15:c4:ca,440_U4-10-100
44901,ADV,-33,444,U4-10-100,e0:5a:1b:15:c4:ca,444_U4-10-100
45212,ADV,-31,447,U4-10-100,e0:5a:1b:15:c4:ca,447_U4-10-100
45528,ADV,-43,450,U4-10-100,e0:5a:1b:15:c4:ca,450_U4-10-100
45862,ADV,-32,453,U4-10-100,e0:5a:1b:15:c4:ca,453_U4-10-100
46164,ADV,-30,456,U4-10-100,e0:5a:1b:15:c4:ca,456_U4-10-100
46485,ADV,-42,460,U4-10-100,e0:5a:1b:15:c4:ca,460_U4-10-100
46701,ADV,-31,462,U4-10-100,e0:5a:1b:15:c4:ca,462_U4-10-100
46895,ADV,-42,464,U4-10-100,e0:5a:1b:15:c4:ca,464_U4-10-100
47098,ADV,-29,466,U4-10-100,e0:5a:1b:15:c4:ca,466_U4-10-100
47317,ADV,-31,468,U4-10-100,e0:5a:1b:15:c4:ca,468_U4-10-100
47628,ADV,-29,471,U4-10-100,e0:5a:1b:15:c4:ca,471_U4-10-100
47847,ADV,-41,473,U4-10-100,e0:5a:1b:15:c4:ca,473_U4-10-100
48420,ADV,-40,479,U4-10-500,e0:5a:1b:15:c4:ca,479_U4-10-500
48912,ADV,-40,484,U4-10-500,e0:5a:1b:15:c4:ca,484_U4-10-500
49419,ADV,-41,489,U4-10-500,e0:5a:1b:15:c4:ca,489_U4-10-500
50418,ADV,-30,499,U4-10-500,e0:5a:1b:15:c4:ca,499_U4-10-500
50919,ADV,-30,504,U4-10-500,e0:5a:1b:15:c4:ca,504_U4-10-500
51929,ADV,-30,514,U4-10-500,e0:5a:1b:15:c4:ca,514_U4-10-500
52434,ADV,-31,519,U4-10-500,e0:5a:1b:15:c4:ca,519_U4-10-500
52944,ADV,-29,524,U4-10-500,e0:5a:1b:15:c4:ca,524_U4-10-500
53447,ADV,-32,529,U4-10-500,e0:5a:1b:15:c4:ca,529_U4-10-500
53960,ADV,-31,534,U4-10-500,e0:5a:1b:15:c4:ca,534_U4-10-500
54453,ADV,-31,539,U4-10-500,e0:5a:1b:15:c4:ca,539_U4-10-500
