ms,mV,µA,p_mW
# meta, firmware=TXSD_PowerLogger_PASS_THRU_OFF_v1, trial_index=2, adv_interval_ms=0
16140,3252,061800,201.0
16150,3252,052200,169.8
16160,3252,063700,207.2
16170,3252,052700,171.4
16180,3252,053100,172.7
16190,3252,055000,178.9
16200,3252,052200,169.8
16210,3252,057900,188.3
16220,3248,052200,169.5
16230,3252,062000,201.6
16240,3252,052200,169.8
16250,3252,063900,207.8
16260,3252,052700,171.4
16270,3252,053100,172.7
16280,3252,055100,179.2
16290,3248,052200,169.5
16300,3256,057900,188.5
16310,3248,052200,169.5
16320,3252,062300,202.6
16330,3252,052200,169.8
16340,3252,064000,208.1
16350,3252,052800,171.7
16360,3248,053100,172.5
16370,3252,055300,179.8
16380,3248,052200,169.5
16390,3252,058100,188.9
16400,3252,052200,169.8
16410,3252,062500,203.2
16420,3252,052300,170.1
16430,3252,064200,208.8
16440,3252,052700,171.4
16450,3252,053100,172.7
16460,3252,055300,179.8
16470,3252,052200,169.8
16480,3252,058200,189.3
16490,3252,052200,169.8
16500,3252,062700,203.9
16510,3248,052300,169.9
16520,3252,064300,209.1
16530,3252,052700,171.4
16540,3252,053000,172.4
16550,3252,055500,180.5
16560,3248,052200,169.5
16570,3252,058400,189.9
16580,3248,052100,169.2
16590,3252,062800,204.2
16600,3252,052400,170.4
16610,3252,064500,209.8
16620,3248,052800,171.5
16630,3248,053000,172.1
16640,3252,055500,180.5
16650,3248,052200,169.5
16660,3252,058500,190.2
16670,3248,052200,169.5
16680,3252,062800,204.2
16690,3248,052500,170.5
16700,3252,064700,210.4
16710,3252,052700,171.4
16720,3248,053000,172.1
16730,3252,055700,181.1
16740,3248,052300,169.9
16750,3252,058700,190.9
16760,3248,052100,169.2
16770,3252,063100,205.2
16780,3252,052500,170.7
16790,3248,064800,210.5
16800,3252,052800,171.7
16810,3248,052800,171.5
16820,3252,055700,181.1
16830,3248,052200,169.5
16840,3256,058800,191.5
16850,3248,052100,169.2
16860,3252,063100,205.2
16870,3248,052500,170.5
16880,3252,065000,211.4
16890,3252,052800,171.7
16900,3248,052700,171.2
16910,3252,055900,181.8
16920,3248,052200,169.5
16930,3252,059000,191.9
16940,3248,052200,169.5
16950,3252,063200,205.5
16960,3252,052600,171.1
16970,3252,065200,212.0
16980,3252,052800,171.7
16990,3248,052700,171.2
17000,3256,056000,182.3
17010,3252,052200,169.8
17020,3252,059000,191.9
17030,3252,052100,169.4
17040,3252,063200,205.5
17050,3248,052600,170.8
17060,3252,065400,212.7
17070,3252,052900,172.0
17080,3248,052600,170.8
17090,3252,056200,182.8
17100,3252,052100,169.4
17110,3252,059300,192.8
17120,3252,052200,169.8
17130,3252,063300,205.9
17140,3252,052500,170.7
17150,3252,065600,213.3
17160,3252,053000,172.4
17170,3248,052600,170.8
17180,3252,056400,183.4
17190,3248,052100,169.2
17200,3252,059400,193.2
17210,3248,052100,169.2
17220,3252,063200,205.5
17230,3252,052600,171.1
17240,3252,065800,214.0
17250,3252,053000,172.4
17260,3248,052500,170.5
17270,3256,056500,184.0
17280,3248,052200,169.5
17290,3252,059600,193.8
17300,3248,052100,169.2
17310,3252,063200,205.5
17320,3252,052600,171.1
17330,3252,066000,214.6
17340,3252,053200,173.0
17350,3248,052400,170.2
17360,3256,056600,184.3
17370,3248,052200,169.5
17380,3252,059800,194.5
17390,3248,052100,169.2
17400,3252,063200,205.5
17410,3252,052600,171.1
17420,3252,066100,215.0
17430,3252,053300,173.3
17440,3248,052400,170.2
17450,3252,056800,184.7
17460,3252,052100,169.4
17470,3252,060000,195.1
17480,3252,052100,169.4
17490,3252,063300,205.9
17500,3252,052600,171.1
17510,3252,066300,215.6
17520,3252,053500,174.0
17530,3244,052400,170.0
17540,3252,056900,185.0
17550,3252,052200,169.8
17560,3252,060200,195.8
17570,3252,052100,169.4
17580,3252,063200,205.5
17590,3248,052700,171.2
17600,3252,066400,215.9
17610,3252,053700,174.6
17620,3244,052400,170.0
17630,3252,057100,185.7
17640,3252,052200,169.8
17650,3252,060300,196.1
17660,3248,052200,169.5
17670,3252,063300,205.9
17680,3252,052700,171.4
17690,3252,066500,216.3
17700,3252,053800,175.0
17710,3244,052300,169.7
17720,3252,057100,185.7
17730,3248,052100,169.2
17740,3252,060600,197.1
17750,3248,052100,169.2
17760,3252,063100,205.2
17770,3252,052700,171.4
17780,3252,066500,216.3
17790,3252,053900,175.3
17800,3244,052300,169.7
17810,3252,057300,186.3
17820,3252,052100,169.4
17830,3252,060700,197.4
17840,3248,052100,169.2
17850,3252,063300,205.9
17860,3252,052700,171.4
17870,3252,066500,216.3
17880,3252,054100,175.9
17890,3244,052300,169.7
17900,3252,057300,186.3
17910,3248,052200,169.5
17920,3252,061000,198.4
17930,3252,052100,169.4
17940,3252,063300,205.9
17950,3252,052700,171.4
17960,3252,066500,216.3
17970,3252,054300,176.6
17980,3244,052300,169.7
17990,3256,057500,187.2
18000,3252,052100,169.4
18010,3256,061200,199.3
18020,3248,052200,169.5
18030,3252,063400,206.2
18040,3252,052700,171.4
18050,3252,066500,216.3
18060,3252,054500,177.2
