scenario_id,env_id,prior_env_id,actions,tau_s,epsilon,rep,method,reward_mode,cost_unit,avg_cost,violation_rate,violations_first_100,regret_vs_oracle
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,20,fixed_ccs,per_60s,mJ_per_60s,1092.7871327683579,0.114,12.0,-421279.1132283616
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,20,oracle,per_60s,mJ_per_60s,1514.0662459967195,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,21,safe_ucb,per_60s,mJ_per_60s,1524.1598112462784,0.001,1.0,-643.2539481283166
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,21,ucb,per_60s,mJ_per_60s,1078.4538886064365,0.534,54.0,-446349.1765879702
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,21,fixed_ccs,per_60s,mJ_per_60s,1099.0974103733085,0.094,10.0,-425705.6548210983
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,21,oracle,per_60s,mJ_per_60s,1524.8030651944068,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,22,safe_ucb,per_60s,mJ_per_60s,1518.4180379166341,0.0,0.0,-1075.340656006476
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,22,ucb,per_60s,mJ_per_60s,1077.183849933893,0.537,56.0,-442309.52863874775
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,22,fixed_ccs,per_60s,mJ_per_60s,1095.9767844261153,0.094,7.0,-423516.5941465255
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,22,oracle,per_60s,mJ_per_60s,1519.4933785726407,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,23,safe_ucb,per_60s,mJ_per_60s,1525.9607320708901,0.001,1.0,-1074.6675586854108
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,23,ucb,per_60s,mJ_per_60s,1079.1030970563236,0.512,50.0,-447932.30257325177
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,23,fixed_ccs,per_60s,mJ_per_60s,1100.4094050836288,0.092,13.0,-426625.9945459466
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,23,oracle,per_60s,mJ_per_60s,1527.0353996295755,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,24,safe_ucb,per_60s,mJ_per_60s,1525.2800015283037,0.0,0.0,-1171.9405329432338
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,24,ucb,per_60s,mJ_per_60s,1079.2635577776175,0.535,51.0,-447188.3842836295
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,24,fixed_ccs,per_60s,mJ_per_60s,1100.0664935416655,0.106,9.0,-426385.44851958146
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,24,oracle,per_60s,mJ_per_60s,1526.451942061247,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,25,safe_ucb,per_60s,mJ_per_60s,1509.5516184707244,0.0,0.0,-738.0424035785254
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,25,ucb,per_60s,mJ_per_60s,1074.205776634421,0.591,62.0,-436083.884239882
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,25,fixed_ccs,per_60s,mJ_per_60s,1090.5675461214762,0.117,9.0,-419722.11475282675
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,25,oracle,per_60s,mJ_per_60s,1510.2896608743029,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,26,safe_ucb,per_60s,mJ_per_60s,1512.6754833571458,0.0,0.0,-870.4012588351034
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,26,ucb,per_60s,mJ_per_60s,1075.5118388308106,0.562,54.0,-438034.0457851705
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,26,fixed_ccs,per_60s,mJ_per_60s,1092.4813043189004,0.103,13.0,-421064.58029708057
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,26,oracle,per_60s,mJ_per_60s,1513.545884615981,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,27,safe_ucb,per_60s,mJ_per_60s,1518.7721549791352,0.0,0.0,-763.1152504077181
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,27,ucb,per_60s,mJ_per_60s,1077.154594404286,0.556,52.0,-442380.67582525685
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,27,fixed_ccs,per_60s,mJ_per_60s,1096.0014051242497,0.124,8.0,-423533.8651052932
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,27,oracle,per_60s,mJ_per_60s,1519.535270229543,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,28,safe_ucb,per_60s,mJ_per_60s,1509.7244034388816,0.001,1.0,-740.2904086667113
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,28,ucb,per_60s,mJ_per_60s,1074.7744336494836,0.539,52.0,-435690.2601980646
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,28,fixed_ccs,per_60s,mJ_per_60s,1090.6704170584712,0.114,13.0,-419794.2767890771
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,28,oracle,per_60s,mJ_per_60s,1510.4646938475482,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,29,safe_ucb,per_60s,mJ_per_60s,1524.4232292793743,0.001,1.0,-782.9808147607837
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,29,ucb,per_60s,mJ_per_60s,1078.5928324805532,0.553,58.0,-446613.37761358195
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,29,fixed_ccs,per_60s,mJ_per_60s,1099.3343479788948,0.101,13.0,-425871.8621152402
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,29,oracle,per_60s,mJ_per_60s,1525.206210094135,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,30,safe_ucb,per_60s,mJ_per_60s,1529.7383822998313,0.002,2.0,-826.9446968457196
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,30,ucb,per_60s,mJ_per_60s,1080.1073411057714,0.558,63.0,-450457.9858909056
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,30,fixed_ccs,per_60s,mJ_per_60s,1102.484025248278,0.131,14.0,-428081.30174839916
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,30,oracle,per_60s,mJ_per_60s,1530.5653269966772,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,31,safe_ucb,per_60s,mJ_per_60s,1511.0024200357711,0.0,0.0,-1059.1003689251374
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,31,ucb,per_60s,mJ_per_60s,1075.1325086957277,0.574,56.0,-436929.01170896855
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,31,fixed_ccs,per_60s,mJ_per_60s,1091.608909052893,0.112,17.0,-420452.6113518032
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,31,oracle,per_60s,mJ_per_60s,1512.0615204046962,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,32,safe_ucb,per_60s,mJ_per_60s,1520.9601445309856,0.001,1.0,-1016.5862731093075
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,32,ucb,per_60s,mJ_per_60s,1077.7311090303801,0.586,56.0,-444245.6217737149
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,32,fixed_ccs,per_60s,mJ_per_60s,1097.436308115845,0.11,9.0,-424540.4226882502
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,32,oracle,per_60s,mJ_per_60s,1521.976730804095,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,33,safe_ucb,per_60s,mJ_per_60s,1528.9584135475263,0.001,1.0,-869.7578386929817
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,33,ucb,per_60s,mJ_per_60s,1079.888313602124,0.56,54.0,-449939.8577840952
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,33,fixed_ccs,per_60s,mJ_per_60s,1102.0507818030487,0.106,10.0,-427777.38958317065
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,33,oracle,per_60s,mJ_per_60s,1529.8281713862193,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,34,safe_ucb,per_60s,mJ_per_60s,1507.1672273574038,0.001,1.0,-1123.507833409356
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,34,ucb,per_60s,mJ_per_60s,1073.5502683766451,0.534,52.0,-434740.46681416803
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,34,fixed_ccs,per_60s,mJ_per_60s,1089.3927311467385,0.108,6.0,-418898.0040440748
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,34,oracle,per_60s,mJ_per_60s,1508.2907351908132,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,35,safe_ucb,per_60s,mJ_per_60s,1511.5418540960359,0.0,0.0,-976.7607082612813
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,35,ucb,per_60s,mJ_per_60s,1074.8616623169546,0.556,64.0,-437656.9524873425
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,35,fixed_ccs,per_60s,mJ_per_60s,1091.8775540305173,0.127,11.0,-420641.0607737799
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,35,oracle,per_60s,mJ_per_60s,1512.5186148042972,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,36,safe_ucb,per_60s,mJ_per_60s,1517.7969882070445,0.001,1.0,-813.7335221758112
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,36,ucb,per_60s,mJ_per_60s,1076.6253043859174,0.577,59.0,-441985.41734330286
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,36,fixed_ccs,per_60s,mJ_per_60s,1095.45802653243,0.127,15.0,-423152.6951967904
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,36,oracle,per_60s,mJ_per_60s,1518.6107217292204,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,37,safe_ucb,per_60s,mJ_per_60s,1519.9128204810484,0.001,1.0,-968.5104213792365
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,37,ucb,per_60s,mJ_per_60s,1077.4771973842885,0.543,50.0,-443404.13351813913
