scenario_id,method,env_id,prior_env_id,filter_env_id,switch_env_id,switch_at,after_switch_k,actions,actions_used,tau_s,epsilon,reward_mode,cost_unit,constraint_ci,constraint_delta,init_strategy,filter_margin,filter_prior_weight,filter_reset_on_switch,avg_cost_mean,avg_cost_std,violation_rate_mean,violation_rate_std,violations_first_100_mean,violations_first_100_std,violations_last_100_mean,violations_last_100_std,violations_after_switch_mean,violations_after_switch_std,violations_first_after_switch_k_mean,violations_first_after_switch_k_std,safe_set_empty_rate_mean,safe_set_empty_rate_std,safe_set_size_mean_mean,safe_set_size_mean_std,distinct_actions_pulled_mean,distinct_actions_pulled_std,pull_100_mean,pull_1000_mean,pull_2000_mean,pull_500_mean,regret_vs_oracle_mean,regret_vs_oracle_std,n_reps
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w0.5_m0_r1,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.0,0.5,1,1128.4789318131664,110.38280085291004,0.07951,0.01898563784665778,5.74,2.2456242523691006,9.9,4.319324675984158,51.27,15.358250505375231,5.42,2.1935626664668533,0.0,0.0,1.89823,0.2753964582051106,2.0,0.0,0.0,917.01,0.0,82.99,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w0_m0.01_r0,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.01,0.0,0,1149.1899099063612,141.2055132228809,0.07539,0.023910563575646866,5.59,2.1977720582903997,9.13,4.706872259223364,47.71,19.649604822921237,4.98,2.726525150065444,0.0,0.0,1.82928,0.3745165524790701,2.0,0.0,0.0,868.06,0.0,131.94,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w0_m0.01_r1,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.01,0.0,1,1260.3932640713044,109.10521336736338,0.04661,0.019195377705388483,5.59,2.1977720582903997,1.89,4.067349669420289,18.93,17.877956066936544,3.8,1.9898733526523644,0.0,0.0,1.58507,0.2690629551580519,2.0,0.0,0.0,603.85,0.0,396.15,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w0_m0.02_r0,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.02,0.0,0,1164.4675179842798,148.49342287911088,0.07182000000000001,0.02374927112119189,5.56,2.166410241236256,7.77,5.140166644313502,44.43,20.11494996566514,4.82,2.764785779050594,1e-05,0.0001,1.7931899999999998,0.38587978174503507,2.0,0.0,0.0,831.98,0.0,168.02,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w0_m0.02_r1,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.02,0.0,1,1289.0141716510652,102.9692713475615,0.03992,0.015729840392956277,5.56,2.166410241236256,0.9,2.794294330968161,12.53,13.624439567753,3.6,1.8856180831641265,1e-05,0.0001,1.5172700000000001,0.25224110059283134,2.0,0.0,0.0,536.06,0.0,463.94,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w0_m0.03_r0,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.03,0.0,0,1246.0940550929035,176.15406225053775,0.056139999999999995,0.0259190737457646,5.26,2.072523470398716,3.71,4.759456296933951,30.65,22.145239130829363,3.79,3.0361292475915453,3e-05,0.00022270150335361368,1.59916,0.43009897193153757,2.0,0.0,0.0,637.97,0.0,362.03,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w0_m0.03_r1,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.03,0.0,1,1338.0560041279273,104.30590719808929,0.0329,0.011183953150867901,5.26,2.072523470398716,0.07,0.7,7.41,8.569496054393317,3.11,1.7689522094143526,3e-05,0.00022270150335361368,1.401,0.2535820151032766,2.0,0.0,0.0,419.81,0.0,580.19,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w0_m0_r0,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.0,0.0,0,1140.0838803065242,131.31080290169592,0.07712,0.02280540428596838,5.66,2.2572889791414696,9.6,4.6122366887148445,49.14,18.66884186460576,5.06,2.639329575111946,0.0,0.0,1.85077,0.35703557401344627,2.0,0.0,0.0,889.55,0.0,110.45,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w0_m0_r1,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.0,0.0,1,1227.0399196460094,121.81406835656212,0.05432000000000001,0.023417976346422766,5.66,2.2572889791414696,3.71,5.217095054537611,26.34,21.708453876243002,4.03,2.115145003028961,0.0,0.0,1.66422,0.29397435399721655,2.0,0.0,0.0,683.0,0.0,317.0,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w1_m0.01_r0,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.01,1.0,0,1136.4368992733791,125.16226920749352,0.07759,0.021608123706166858,5.72,2.216011523144018,9.52,4.511444481885076,49.48,17.852074547697967,5.14,2.6054333283127447,0.0,0.0,1.8993600000000002,0.29779708093623325,2.0,0.0,0.0,898.18,0.0,101.82,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w1_m0.01_r1,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.01,1.0,1,1136.4368992733791,125.16226920749352,0.07759,0.021608123706166858,5.72,2.216011523144018,9.52,4.511444481885076,49.48,17.852074547697967,5.14,2.6054333283127447,0.0,0.0,1.8993600000000002,0.29779708093623325,2.0,0.0,0.0,898.18,0.0,101.82,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w1_m0.02_r0,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.02,1.0,0,1156.029220782548,139.60438573436406,0.07323,0.022430973805401,5.64,2.1580013199647716,7.97,5.022082549233249,45.58,19.14758206640982,4.95,2.6944574611785965,0.0,0.0,1.81315,0.3694234212139427,2.0,0.0,0.0,851.93,0.0,148.07,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w1_m0.02_r1,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.02,1.0,1,1156.029220782548,139.60438573436406,0.07323,0.022430973805401,5.64,2.1580013199647716,7.97,5.022082549233249,45.58,19.14758206640982,4.95,2.6944574611785965,0.0,0.0,1.81315,0.3694234212139427,2.0,0.0,0.0,851.93,0.0,148.07,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w1_m0.03_r0,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.03,1.0,0,1214.664941224303,159.98006972533207,0.061020000000000005,0.023247886837823407,5.5,2.0768079625067206,4.29,4.814319969390981,34.42,20.853592573758682,4.27,2.9089030873711095,0.0,0.0,1.67358,0.4011717730787543,2.0,0.0,0.0,712.36,0.0,287.64,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w1_m0.03_r1,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.03,1.0,1,1214.664941224303,159.98006972533207,0.061020000000000005,0.023247886837823407,5.5,2.0768079625067206,4.29,4.814319969390981,34.42,20.853592573758682,4.27,2.9089030873711095,0.0,0.0,1.67358,0.4011717730787543,2.0,0.0,0.0,712.36,0.0,287.64,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w1_m0_r0,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.0,1.0,0,1114.8677213640867,90.9899156891943,0.08132,0.016905488917968496,5.88,2.275384305424852,10.25,3.960346378076472,52.65,14.027660265534399,5.37,2.3383279876394116,0.0,0.0,1.9506000000000001,0.21641855257576675,2.0,0.0,0.0,949.42,0.0,50.58,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w1_m0_r1,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.0,1.0,1,1114.8677213640867,90.9899156891943,0.08132,0.016905488917968496,5.88,2.275384305424852,10.25,3.960346378076472,52.65,14.027660265534399,5.37,2.3383279876394116,0.0,0.0,1.9506000000000001,0.21641855257576675,2.0,0.0,0.0,949.42,0.0,50.58,,,100
