rx_file,mode,transition_step,label_prev,label_cur,tl_s,outage_gt_tau,arrival_step,offset_ms
rx_trial_012.csv,P,120,11,10,0.116,0,121,-268.0
rx_trial_012.csv,P,245,10,6,0.07,0,246,-268.0
rx_trial_012.csv,P,338,6,7,0.071,0,339,-268.0
rx_trial_012.csv,P,362,7,11,0.091,0,363,-268.0
rx_trial_012.csv,P,376,11,4,0.266,0,379,-268.0
rx_trial_012.csv,P,429,4,10,0.075,0,430,-268.0
rx_trial_012.csv,P,605,10,3,0.071,0,606,-268.0
rx_trial_012.csv,P,615,3,7,0.022,0,615,-268.0
rx_trial_012.csv,P,642,7,3,0.07,0,643,-268.0
rx_trial_012.csv,P,680,3,9,0.123,0,681,-268.0
rx_trial_012.csv,P,714,9,8,0.075,0,715,-268.0
rx_trial_012.csv,P,724,8,7,0.016,0,724,-268.0
rx_trial_012.csv,P,775,7,0,0.068,0,776,-268.0
rx_trial_012.csv,P,796,0,7,0.162,0,798,-268.0
rx_trial_012.csv,P,858,7,4,0.079,0,859,-268.0
rx_trial_012.csv,P,963,4,6,0.276,0,966,-268.0
rx_trial_012.csv,P,1035,6,5,0.072,0,1036,-268.0
rx_trial_012.csv,P,1055,5,9,0.063,0,1056,-268.0
rx_trial_012.csv,P,1087,9,2,0.219,0,1089,-268.0
rx_trial_012.csv,P,1128,2,9,9.676,1,1225,-268.0
rx_trial_012.csv,P,1130,9,4,0.022,0,1130,-268.0
rx_trial_012.csv,P,1224,4,9,0.076,0,1225,-268.0
rx_trial_012.csv,P,1282,9,0,0.068,0,1283,-268.0
rx_trial_012.csv,P,1299,0,9,0.282,0,1302,-268.0
rx_trial_012.csv,P,1404,9,7,0.275,0,1407,-268.0
rx_trial_012.csv,P,1410,7,2,0.092,0,1411,-268.0
rx_trial_012.csv,P,1414,2,8,0.01,0,1414,-268.0
rx_trial_012.csv,P,1458,8,6,0.22,0,1460,-268.0
rx_trial_012.csv,P,1523,6,11,0.07,0,1524,-268.0
rx_trial_012.csv,P,1581,11,5,0.081,0,1582,-268.0
rx_trial_012.csv,P,1603,5,1,0.284,0,1606,-268.0
rx_trial_012.csv,P,1614,1,2,0.249,0,1616,-268.0
rx_trial_012.csv,P,1627,2,8,0.304,0,1630,-268.0
rx_trial_012.csv,P,1678,8,1,0.073,0,1679,-268.0
rx_trial_012.csv,P,1697,1,2,0.184,0,1699,-268.0
rx_trial_012.csv,P,1701,2,1,0.095,0,1702,-268.0
rx_trial_012.csv,P,1766,1,3,0.07,0,1767,-268.0
rx_trial_013.csv,U,13,1,0,0.035,0,13,-258.0
rx_trial_013.csv,U,88,0,6,0.182,0,90,-258.0
rx_trial_013.csv,U,91,6,7,0.498,0,96,-258.0
rx_trial_013.csv,U,97,7,11,0.116,0,98,-258.0
rx_trial_013.csv,U,120,11,10,0.018,0,120,-258.0
rx_trial_013.csv,U,245,10,6,0.172,0,247,-258.0
rx_trial_013.csv,U,338,6,7,0.185,0,340,-258.0
rx_trial_013.csv,U,362,7,11,0.314,0,365,-258.0
rx_trial_013.csv,U,376,11,4,0.172,0,378,-258.0
rx_trial_013.csv,U,429,4,10,0.182,0,431,-258.0
rx_trial_013.csv,U,605,10,3,0.179,0,607,-258.0
rx_trial_013.csv,U,615,3,7,0.133,0,616,-258.0
rx_trial_013.csv,U,642,7,3,0.143,0,643,-258.0
rx_trial_013.csv,U,680,3,9,0.009,0,680,-258.0
rx_trial_013.csv,U,714,9,8,0.164,0,716,-258.0
rx_trial_013.csv,U,724,8,7,0.217,0,726,-258.0
rx_trial_013.csv,U,775,7,0,0.287,0,778,-258.0
rx_trial_013.csv,U,796,0,7,0.196,0,798,-258.0
rx_trial_013.csv,U,858,7,4,0.174,0,860,-258.0
rx_trial_013.csv,U,963,4,6,0.075,0,964,-258.0
rx_trial_013.csv,U,1035,6,5,0.072,0,1036,-258.0
rx_trial_013.csv,U,1055,5,9,0.392,0,1059,-258.0
rx_trial_013.csv,U,1087,9,2,0.141,0,1088,-258.0
rx_trial_013.csv,U,1128,2,9,0.032,0,1128,-258.0
rx_trial_013.csv,U,1130,9,4,0.256,0,1133,-258.0
rx_trial_013.csv,U,1224,4,9,0.177,0,1226,-258.0
rx_trial_013.csv,U,1282,9,0,0.178,0,1284,-258.0
rx_trial_013.csv,U,1299,0,9,0.037,0,1299,-258.0
rx_trial_013.csv,U,1404,9,7,0.277,0,1407,-258.0
rx_trial_013.csv,U,1410,7,2,0.002,0,1410,-258.0
rx_trial_013.csv,U,1414,2,8,0.224,0,1416,-258.0
rx_trial_013.csv,U,1458,8,6,0.023,0,1458,-258.0
rx_trial_013.csv,U,1523,6,11,0.07,0,1524,-258.0
rx_trial_013.csv,U,1581,11,5,0.182,0,1583,-258.0
rx_trial_013.csv,U,1603,5,1,0.077,0,1604,-258.0
rx_trial_013.csv,U,1614,1,2,0.233,0,1616,-258.0
rx_trial_013.csv,U,1627,2,8,0.073,0,1628,-258.0
rx_trial_013.csv,U,1678,8,1,0.079,0,1679,-258.0
rx_trial_013.csv,U,1697,1,2,inf,1,,-258.0
rx_trial_013.csv,U,1701,2,1,0.165,0,1703,-258.0
rx_trial_013.csv,U,1766,1,3,0.074,0,1767,-258.0
rx_trial_016.csv,P,13,1,0,0.237,0,15,-213.0
rx_trial_016.csv,P,88,0,6,0.074,0,89,-213.0
rx_trial_016.csv,P,91,6,7,0.189,0,93,-213.0
rx_trial_016.csv,P,97,7,11,0.229,0,99,-213.0
rx_trial_016.csv,P,120,11,10,0.127,0,121,-213.0
rx_trial_016.csv,P,245,10,6,0.069,0,246,-213.0
rx_trial_016.csv,P,338,6,7,0.283,0,341,-213.0
rx_trial_016.csv,P,362,7,11,0.256,0,365,-213.0
rx_trial_016.csv,P,376,11,4,0.011,0,376,-213.0
rx_trial_016.csv,P,429,4,10,0.091,0,430,-213.0
rx_trial_016.csv,P,605,10,3,0.068,0,606,-213.0
rx_trial_016.csv,P,615,3,7,0.105,0,616,-213.0
rx_trial_016.csv,P,642,7,3,0.199,0,644,-213.0
rx_trial_016.csv,P,680,3,9,0.093,0,681,-213.0
rx_trial_016.csv,P,714,9,8,0.275,0,717,-213.0
rx_trial_016.csv,P,724,8,7,0.207,0,726,-213.0
rx_trial_016.csv,P,775,7,0,0.071,0,776,-213.0
rx_trial_016.csv,P,796,0,7,0.068,0,797,-213.0
rx_trial_016.csv,P,858,7,4,0.28,0,861,-213.0
