ms,mv,uA,p_mW
17728,3304,76800,254,253.7
17738,3304,76$00,252,0.3
17748,3304,76800,254,253.7
17758,3304,74%00,246,0.2
17768,3304,76800,254,253.7
17778,3304,73$00,243,0.2
17788,3304,77#00,255,0.3
17798,3304,70&00,233,0.2
17808,3304,77$00,256,0.3
17818,3304,76'00,253,0.3
17828,3304,76"00,252,0.3
17838,3304,76'00,253,0.3
17848,3304,74$00,246,0.2
17858,3304,76'00,253,0.3
17868,3304,72$00,239,0.2
17878,3304,77#00,255,0.3
17888,3304,70%00,233,0.2
17898,3304,77#00,255,0.3
17908,3304,76800,254,253.7
17918,3304,75'00,250,0.2
17928,3304,76'00,253,0.3
17938,3304,74%00,246,0.2
17948,3304,76'00,253,0.3
17958,3300,71%00,236,0.2
17968,3304,77#00,255,0.3
17978,3304,70"00,232,0.2
17988,3300,77#00,255,0.3
17998,3304,76800,254,253.7
18008,3304,75!00,248,0.2
18018,3304,76'00,253,0.3
18028,3304,74#00,245,0.2
18038,3304,77 00,254,0.3
18048,3304,70900,234,234.3
18058,3304,77#00,255,0.3
18068,3304,76800,254,253.7
18078,3304,76900,254,254.1
18088,3304,76'00,253,0.3
18098,3304,74800,247,247.1
18108,3304,76800,254,253.7
18118,3304,74#00,245,0.2
18128,3304,77!00,255,0.3
18138,3304,70'00,234,0.2
18148,3304,77#00,255,0.3
18158,3304,76'00,253,0.3
18168,3304,76$00,252,0.3
18178,3304,76800,254,253.7
18188,3304,74%00,246,0.2
18198,3304,76800,254,253.7
18208,3304,73'00,244,0.2
18218,3304,77"00,255,0.3
18228,3304,70&00,233,0.2
18238,3304,77$00,256,0.3
18248,3304,76800,254,253.7
18258,3304,76#00,252,0.3
18268,3304,76'00,253,0.3
18278,3304,74$00,246,0.2
18288,3304,76800,254,253.7
18298,3304,72'00,240,0.2
18308,3304,77#00,255,0.3
18318,3304,70&00,233,0.2
18328,3304,77#00,255,0.3
18338,3304,76800,254,253.7
18348,3304,75900,251,250.8
18358,3304,76800,254,253.7
18368,3304,74$00,246,0.2
18378,3304,76'00,253,0.3
18388,3304,71800,237,237.2
18398,3304,77#00,255,0.3
18408,3304,70#00,232,0.2
18418,3304,77"00,255,0.3
18428,3304,76'00,253,0.3
18438,3304,75#00,249,0.2
18448,3304,76800,254,253.7
18458,3304,74#00,245,0.2
18468,3304,76'00,253,0.3
18478,3304,71 00,235,0.2
18488,3304,77#00,255,0.3
18498,3304,69800,231,230.6
18508,3304,77!00,255,0.3
18518,3300,76'00,253,0.3
18528,3304,74800,247,247.1
18538,3304,76800,254,253.7
18548,3304,74#00,245,0.2
18558,3304,77 00,254,0.3
18568,3304,70'00,234,0.2
18578,3304,77#00,255,0.3
18588,3304,76'00,253,0.3
18598,3304,76&00,253,0.3
18608,3304,76800,254,253.7
18618,3304,74&00,246,0.2
18628,3304,76'00,253,0.3
18638,3304,73900,244,244.2
18648,3304,77"00,255,0.3
18658,3304,70&00,233,0.2
18668,3304,77#00,255,0.3
18678,3304,76'00,253,0.3
18688,3304,76#00,252,0.3
18698,3304,76'00,253,0.3
18708,3304,74$00,246,0.2
18718,3304,76'00,253,0.3
18728,3304,73!00,242,0.2
18738,3304,77#00,255,0.3
18748,3304,70&00,233,0.2
18758,3304,77#00,255,0.3
18768,3304,76'00,253,0.3
18778,3304,76!00,251,0.3
18788,3304,76800,254,253.7
18798,3304,74#00,245,0.2
18808,3304,76'00,253,0.3
18818,3304,72!00,238,0.2
18828,3304,77$00,256,0.3
18838,3304,70%00,233,0.2
18848,3308,77#00,256,0.3
18858,3304,76'00,253,0.3
18896,3304,75%00,249,0.2
18897,3304,76800,254,253.7
18897,3304,74$00,246,0.2
18898,3304,76800,254,253.7
18908,3304,71"00,235,0.2
18918,3304,77#00,255,0.3
18928,3304,70!00,232,0.2
18938,3304,77#00,255,0.3
18948,3304,76800,254,253.7
18958,3304,75 00,248,0.2
18968,3304,76800,254,253.7
18978,3304,74$00,246,0.2
18988,3304,76900,254,254.1
18998,3304,70800,234,233.9
19008,3304,77$00,256,0.3
19018,3304,76'00,253,0.3
19028,3304,76800,254,253.7
19038,3304,76'00,253,0.3
19048,3300,74&00,246,0.2
19058,3304,76800,254,253.7
19068,3304,74#00,245,0.2
19078,3304,77"00,255,0.3
19088,3304,70&00,233,0.2
19098,3304,77$00,256,0.3
19108,3304,76800,254,253.7
19118,3304,76$00,252,0.3
19128,3304,76'00,253,0.3
19138,3304,74%00,246,0.2
19148,3304,76'00,253,0.3
19158,3304,73$00,243,0.2
19168,3304,77#00,255,0.3
19178,3304,70&00,233,0.2
19188,3304,77#00,255,0.3
19198,3304,76800,254,253.7
19208,3304,76"00,252,0.3
19218,3304,76800,254,253.7
19228,3304,74$00,246,0.2
19238,3304,76800,254,253.7
19248,3304,72$00,239,0.2
19258,3304,77#00,255,0.3
19268,3304,70&00,233,0.2
19278,3304,77#00,255,0.3
19288,3304,76800,254,253.7
19298,3304,75'00,250,0.2
19308,3304,76800,254,253.7
19318,3304,74#00,245,0.2
19328,3304,76800,254,253.7
19338,3300,71%00,236,0.2
19348,3304,77$00,256,0.3
19358,3304,70"00,232,0.2
19368,3304,77#00,255,0.3
19378,3304,76'00,253,0.3
19388,3304,75"00,248,0.2
19398,3300,76800,253,253.4
19408,3304,74$00,246,0.2
19418,3304,76900,254,254.1
19428,3304,70900,234,234.3
19438,3304,77$00,256,0.3
19448,3304,76800,254,253.7
19458,3304,77 00,254,0.3
19468,3304,76800,254,253.7
19478,3304,74900,247,247.5
19488,3304,76800,254,253.7
19498,3304,74#00,245,0.2
19508,3304,77"00,255,0.3
19518,3304,70'00,234,0.2
19528,3304,77$00,256,0.3
19538,3304,76800,254,253.7
19548,3304,76%00,253,0.3
19558,3304,76800,254,253.7
19568,3304,74%00,246,0.2
19578,3304,76800,254,253.7
19588,3304,73'00,244,0.2
19598,3304,77#00,255,0.3
19608,3304,70&00,233,0.2
19618,3304,77$00,256,0.3
19628,3304,76800,254,253.7
19638,3304,76#00,252,0.3
19648,3304,76800,254,253.7
19658,3304,74$00,246,0.2
19668,3304,76'00,253,0.3
19678,3304,72800,241,240.5
19688,3304,77"00,255,0.3
19698,3304,70&00,233,0.2
19708,3304,77#00,255,0.3
19718,3304,76800,254,253.7
19728,3304,76 00,251,0.3
19738,3304,76800,254,253.7
19748,3304,74$00,246,0.2
19758,3304,76'00,253,0.3
19768,3304,71800,237,237.2
19778,3304,77$00,256,0.3
19788,3304,70$00,233,0.2
19798,3304,77#00,255,0.3
19808,3304,76'00,253,0.3
19818,3304,75#00,249,0.2
19828,3304,76'00,253,0.3
19838,3304,74#00,245,0.2
19848,3304,76800,254,253.7
19858,3304,71!00,235,0.2
19868,3304,77#00,255,0.3
19878,3304,69900,231,230.9
19888,3304,77"00,255,0.3
19898,3304,76800,254,253.7
19908,3304,74900,247,247.5
19918,3304,76800,254,253.7
19928,3304,74$00,246,0.2
19938,3304,77!00,255,0.3
19948,3300,70'00,233,0.2
19958,3304,77#00,255,0.3
19968,3304,76'00,253,0.3
19978,3304,76'00,253,0.3
19988,3300,76'00,253,0.3
19998,3304,74&00,246,0.2
20008,3300,76'00,253,0.3
20018,3304,74!00,245,0.2
20028,3304,77"00,255,0.3
20038,3304,70'00,234,0.2
20048,3304,77$00,256,0.3
20058,3304,76'00,253,0.3
20068,3304,76$00,252,0.3
20078,3304,76800,254,253.7
20088,3304,74$00,246,0.2
20098,3304,76'00,253,0.3
20108,3304,73!00,242,0.2
20118,3304,77#00,255,0.3
20128,3304,70&00,233,0.2
20138,3304,77#00,255,0.3
20148,3304,76800,254,253.7
20158,3304,76!00,251,0.3
20168,3304,76800,254,253.7
20178,3304,74$00,246,0.2
20188,3304,76'00,253,0.3
20198,3304,72"00,239,0.2
20208,3304,77#00,255,0.3
20218,3304,70%00,233,0.2
20228,3304,77#00,255,0.3
20238,3304,76'00,253,0.3
20248,3304,75%00,249,0.2
20258,3304,76'00,253,0.3
20268,3304,74$00,246,0.2
20278,3300,76800,253,253.4
20288,3304,71#00,236,0.2
20298,3304,77#00,255,0.3
20308,3304,70!00,232,0.2
20318,3304,77"00,255,0.3
20328,3304,76800,254,253.7
20338,3304,75 00,248,0.2
20348,3304,76'00,253,0.3
20358,3304,74$00,246,0.2
20368,3304,76900,254,254.1
20378,3304,70900,234,234.3
20388,3304,77#00,255,0.3
20398,3304,76800,254,253.7
20408,3304,76800,254,253.7
20418,3304,76'00,253,0.3
20428,3304,74'00,247,0.2
20438,3300,76'00,253,0.3
20448,3304,74#00,245,0.2
20458,3304,77"00,255,0.3
20468,3304,70'00,234,0.2
20478,3304,77$00,256,0.3
20488,3304,76800,254,253.7
20498,3304,76$00,252,0.3
20508,3304,76'00,253,0.3
20518,3304,74%00,246,0.2
20528,3304,76'00,253,0.3
20538,3304,73%00,243,0.2
20548,3304,77#00,255,0.3
20558,3304,70&00,233,0.2
20568,3304,77#00,255,0.3
20578,3304,76'00,253,0.3
20588,3304,76"00,252,0.3
20598,3300,76&00,253,0.3
20608,3304,74$00,246,0.2
20618,3304,76800,254,253.7
20628,3304,72%00,240,0.2
20638,3304,77#00,255,0.3
20648,3304,70%00,233,0.2
20658,3304,77#00,255,0.3
20668,3304,76'00,253,0.3
20678,3304,75'00,250,0.2
20688,3304,76'00,253,0.3
20698,3304,74$00,246,0.2
20708,3304,76'00,253,0.3
20718,3304,71&00,237,0.2
20728,3304,77#00,255,0.3
20738,3304,70"00,232,0.2
20748,3304,77#00,255,0.3
20758,3304,76'00,253,0.3
20768,3304,75"00,248,0.2
20778,3304,76'00,253,0.3
20788,3304,74$00,246,0.2
20798,3304,76900,254,254.1
20808,3304,71 00,235,0.2
20818,3304,77$00,256,0.3
20828,3304,69800,231,230.6
20838,3304,77!00,255,0.3
20848,3304,76800,254,253.7
20858,3304,74900,247,247.5
20868,3304,76800,254,253.7
20878,3304,74$00,246,0.2
20888,3304,77!00,255,0.3
20898,3304,70'00,234,0.2
20908,3304,77#00,255,0.3
20918,3304,76800,254,253.7
20928,3304,76&00,253,0.3
20938,3304,76800,254,253.7
20948,3304,74&00,246,0.2
20958,3304,76800,254,253.7
20968,3304,73900,244,244.2
20978,3304,77"00,255,0.3
20988,3304,70'00,234,0.2
20998,3304,77#00,255,0.3
21008,3304,76800,254,253.7
21018,3304,76#00,252,0.3
21028,3304,76'00,253,0.3
21038,3304,74%00,246,0.2
21048,3304,76'00,253,0.3
21058,3304,72900,241,240.9
21068,3304,77#00,255,0.3
21078,3304,70&00,233,0.2
21088,3304,77#00,255,0.3
21098,3304,76800,254,253.7
21108,3304,76 00,251,0.3
21118,3304,76800,254,253.7
21128,3304,74$00,246,0.2
21138,3304,76800,254,253.7
21148,3304,72 00,238,0.2
21158,3304,77#00,255,0.3
21168,3304,70%00,233,0.2
21178,3304,77#00,255,0.3
21188,3304,76800,254,253.7
21198,3304,75$00,249,0.2
21208,3304,76'00,253,0.3
21218,3304,74#00,245,0.2
21228,3304,76800,254,253.7
21238,3304,71!00,235,0.2
21248,3304,77"00,255,0.3
21258,3304,70 00,231,0.2
21268,3304,77"00,255,0.3
21278,3304,76'00,253,0.3
21288,3304,74900,247,247.5
21298,3304,76'00,253,0.3
21308,3304,74#00,245,0.2
21318,3304,77!00,255,0.3
21328,3304,70'00,234,0.2
21338,3304,77"00,255,0.3
21348,3304,76'00,253,0.3
21358,3304,76800,254,253.7
21368,3304,76'00,253,0.3
21378,3304,74&00,246,0.2
21388,3304,76800,254,253.7
21398,3304,74"00,245,0.2
21408,3304,77"00,255,0.3
21418,3304,70'00,234,0.2
21428,3304,77#00,255,0.3
21438,3304,76800,254,253.7
21448,3304,76$00,252,0.3
21458,3304,76800,254,253.7
21468,3304,74%00,246,0.2
21478,3304,76'00,253,0.3
21488,3304,73#00,242,0.2
21498,3304,77"00,255,0.3
21508,3304,70%00,233,0.2
21518,3304,77#00,255,0.3
21528,3304,76'00,253,0.3
21538,3304,76"00,252,0.3
21548,3304,76'00,253,0.3
21558,3304,74$00,246,0.2
21568,3304,76'00,253,0.3
21578,3304,72$00,239,0.2
21588,3304,77#00,255,0.3
21598,3304,70&00,233,0.2
21608,3304,77#00,255,0.3
21618,3304,76'00,253,0.3
21628,3304,75'00,250,0.2
21638,3304,76800,254,253.7
21648,3304,74300,245,245.5
21658,3304,76'00,253,0.3
21668,3304,71%00,236,0.2
21678,3304,77#00,255,0.3
21688,3304,70"00,232,0.2
21698,3304,77#00,255,0.3
21708,3304,76'00,253,0.3
21718,3304,75!00,248,0.2
21728,3304,76800,254,253.7
21738,3304,74$00,246,0.2
21748,3304,76900,254,254.1
21758,3304,70900,234,234.3
21768,3304,77$00,256,0.3
21778,3304,76800,254,253.7
21788,3304,77 00,254,0.3
21798,3304,76800,254,253.7
21808,3304,74800,247,247.1
21818,3304,76800,254,253.7
21828,3304,74#00,245,0.2
21838,3304,77"00,255,0.3
21848,3304,70'00,234,0.2
21858,3304,77#00,255,0.3
21868,3304,76'00,253,0.3
21878,3304,76%00,253,0.3
21888,3304,76800,254,253.7
21898,3304,74%00,246,0.2
21908,3304,76800,254,253.7
21918,3304,73'00,244,0.2
21928,3304,77"00,255,0.3
21938,3304,70&00,233,0.2
21948,3304,77#00,255,0.3
21958,3304,76'00,253,0.3
21968,3304,76#00,252,0.3
21978,3304,76800,254,253.7
21988,3304,74$00,246,0.2
21998,3304,76'00,253,0.3
22008,3304,72'00,240,0.2
22018,3304,77#00,255,0.3
22028,3304,70%00,233,0.2
22038,3304,77#00,255,0.3
22048,3304,76800,254,253.7
22058,3304,75900,251,250.8
22068,3304,76'00,253,0.3
22078,3304,74#00,245,0.2
22088,3304,76'00,253,0.3
22098,3304,71800,237,237.2
22108,3304,77400,256,255.7
22118,3304,70%00,233,0.2
22128,3304,77"00,255,0.3
22138,3304,76'00,253,0.3
22148,3304,75#00,249,0.2
22158,3304,76800,254,253.7
22168,3304,74#00,245,0.2
22178,3304,76800,254,253.7
22188,3304,71!00,235,0.2
22198,3304,77#00,255,0.3
22208,3304,69900,231,230.9
22218,3304,77"00,255,0.3
22228,3304,76900,254,254.1
22238,3304,74800,247,247.1
22248,3304,76'00,253,0.3
22258,3304,74#00,245,0.2
22268,3304,77 00,254,0.3
22278,3304,70800,234,233.9
22288,3304,77#00,255,0.3
22298,3304,76800,254,253.7
22308,3304,76&00,253,0.3
22318,3304,76800,254,253.7
22328,3304,74'00,247,0.2
22338,3304,76800,254,253.7
22348,3304,74 00,244,0.2
22358,3304,77"00,255,0.3
22368,3304,70&00,233,0.2
22378,3304,77#00,255,0.3
22388,3300,76800,253,253.4
22398,3304,76#00,252,0.3
22408,3304,76'00,253,0.3
22418,3304,74#00,245,0.2
22428,3304,76'00,253,0.3
22438,3304,73!00,242,0.2
22448,3304,77#00,255,0.3
22458,3300,70&00,233,0.2
22468,3304,77#00,255,0.3
22478,3304,76800,254,253.7
22488,3304,76!00,251,0.3
22498,3304,76'00,253,0.3
22508,3304,74#00,245,0.2
22518,3304,76'00,253,0.3
22528,3300,72!00,238,0.2
22538,3304,77$00,256,0.3
22548,3304,70%00,233,0.2
22558,3304,77#00,255,0.3
22568,3304,76800,254,253.7
22578,3304,75%00,249,0.2
22588,3304,76'00,253,0.3
22598,3304,74$00,246,0.2
22608,3304,76800,254,253.7
22618,3304,71#00,236,0.2
22628,3300,77#00,255,0.3
22638,3304,70!00,232,0.2
22648,3304,77"00,255,0.3
22658,3304,76'00,253,0.3
22668,3304,75 00,248,0.2
22678,3304,76'00,253,0.3
22688,3304,74$00,246,0.2
22698,3304,76900,254,254.1
22708,3304,70900,234,234.3
22718,3304,77#00,255,0.3
22728,3304,76'00,253,0.3
22738,3304,76900,254,254.1
22748,3304,76'00,253,0.3
22758,3304,74'00,247,0.2
22768,3304,76800,254,253.7
22778,3304,74#00,245,0.2
22788,3304,77!00,255,0.3
22798,3304,70&00,233,0.2
22808,3304,77$00,256,0.3
22818,3304,76'00,253,0.3
22828,3304,76$00,252,0.3
22838,3304,76'00,253,0.3
22848,3304,74%00,246,0.2
22858,3304,76'00,253,0.3
22868,3304,73&00,243,0.2
22878,3304,77"00,255,0.3
22888,3304,70&00,233,0.2
22898,3304,77#00,255,0.3
22908,3304,76'00,253,0.3
22918,3304,76"00,252,0.3
22928,3304,76800,254,253.7
22938,3304,74$00,246,0.2
22948,3304,76'00,253,0.3
22958,3304,72&00,240,0.2
22968,3304,77#00,255,0.3
22978,3304,70&00,233,0.2
22988,3304,77$00,256,0.3
22998,3304,76'00,253,0.3
23008,3304,75800,250,250.4
23018,3304,76'00,253,0.3
23028,3304,74400,246,245.8
23038,3304,76&00,253,0.3
23048,3304,71&00,237,0.2
23058,3304,77#00,255,0.3
23068,3304,70#00,232,0.2
23078,3304,77#00,255,0.3
23088,3304,76'00,253,0.3
23098,3304,75"00,248,0.2
23108,3304,76'00,253,0.3
23118,3304,74$00,246,0.2
23128,3304,76800,254,253.7
23138,3304,71 00,235,0.2
23148,3304,77#00,255,0.3
23158,3304,69900,231,230.9
23168,3304,77 00,254,0.3
23178,3304,76'00,253,0.3
23188,3304,74900,247,247.5
23198,3304,76'00,253,0.3
23208,3304,74#00,245,0.2
23218,3304,77#00,255,0.3
23228,3304,70'00,234,0.2
23238,3304,77#00,255,0.3
23248,3304,76'00,253,0.3
23258,3304,76&00,253,0.3
23268,3300,76'00,253,0.3
23278,3304,74%00,246,0.2
23288,3304,76'00,253,0.3
23298,3304,73900,244,244.2
23308,3304,77"00,255,0.3
23318,3304,70&00,233,0.2
23328,3304,77#00,255,0.3
23338,3304,76'00,253,0.3
23348,3304,76$00,252,0.3
23358,3304,76'00,253,0.3
23368,3304,74$00,246,0.2
23378,3304,76'00,253,0.3
23388,3304,73!00,242,0.2
23398,3304,77"00,255,0.3
23408,3304,70%00,233,0.2
23418,3304,77$00,256,0.3
23428,3304,76800,254,253.7
23438,3304,76 00,251,0.3
23448,3304,76'00,253,0.3
23458,3304,74$00,246,0.2
23468,3304,76'00,253,0.3
23478,3304,72"00,239,0.2
23488,3304,77300,255,255.4
23498,3304,70%00,233,0.2
23508,3304,77$00,256,0.3
23518,3304,76'00,253,0.3
23528,3304,75%00,249,0.2
23538,3304,76'00,253,0.3
23548,3304,74$00,246,0.2
23558,3304,76'00,253,0.3
23568,3304,71#00,236,0.2
23578,3304,77#00,255,0.3
23588,3304,70!00,232,0.2
23598,3304,77"00,255,0.3
23608,3304,76'00,253,0.3
23618,3304,75 00,248,0.2
23628,3304,76800,254,253.7
23638,3304,74$00,246,0.2
23648,3304,77 00,254,0.3
23658,3304,70800,234,233.9
23668,3304,77#00,255,0.3
23678,3304,76800,254,253.7
23688,3304,76800,254,253.7
23698,3304,76800,254,253.7
23708,3304,74'00,247,0.2
23718,3304,76800,254,253.7
23728,3304,74#00,245,0.2
23738,3304,77"00,255,0.3
23748,3304,70'00,234,0.2
23758,3304,77$00,256,0.3
23768,3304,76800,254,253.7
23778,3304,76#00,252,0.3
23788,3304,76800,254,253.7
23798,3304,74%00,246,0.2
23808,3304,76800,254,253.7
23818,3304,73$00,243,0.2
23828,3304,77#00,255,0.3
23838,3304,70%00,233,0.2
23848,3304,77#00,255,0.3
23858,3304,76'00,253,0.3
23868,3304,76"00,252,0.3
23878,3304,76'00,253,0.3
23888,3304,74$00,246,0.2
23898,3304,76800,254,253.7
23908,3304,72&00,240,0.2
23918,3304,77#00,255,0.3
23928,3304,70&00,233,0.2
23938,3304,77$00,256,0.3
23948,3304,76800,254,253.7
23958,3304,75'00,250,0.2
23968,3304,76800,254,253.7
23978,3304,74$00,246,0.2
23988,3304,76'00,253,0.3
23998,3304,71&00,237,0.2
24008,3304,77#00,255,0.3
24018,3304,70$00,233,0.2
24028,3304,77#00,255,0.3
24038,3304,76800,254,253.7
24048,3304,75!00,248,0.2
24058,3304,76'00,253,0.3
24068,3304,74#00,245,0.2
24078,3304,76900,254,254.1
24088,3300,71 00,234,0.2
24098,3304,77#00,255,0.3
24108,3304,69800,231,230.6
24118,3304,77 00,254,0.3
24128,3304,76800,254,253.7
24138,3304,74900,247,247.5
24148,3304,76'00,253,0.3
24158,3304,74$00,246,0.2
24168,3304,77!00,255,0.3
24178,3304,70800,234,233.9
24188,3304,77$00,256,0.3
24198,3304,76800,254,253.7
24208,3304,76%00,253,0.3
24218,3304,76'00,253,0.3
24228,3304,74'00,247,0.2
24238,3304,76800,254,253.7
24248,3304,73900,244,244.2
24258,3304,77"00,255,0.3
24268,3304,70'00,234,0.2
24278,3304,77$00,256,0.3
24288,3304,76800,254,253.7
24298,3304,76#00,252,0.3
24308,3304,76800,254,253.7
24318,3304,74$00,246,0.2
24328,3304,76800,254,253.7
24338,3304,72900,241,240.9
24348,3304,77#00,255,0.3
24358,3304,70&00,233,0.2
24368,3304,77#00,255,0.3
24378,3304,76'00,253,0.3
24388,3304,76 00,251,0.3
24398,3304,76'00,253,0.3
24408,3304,74400,246,245.8
24418,3304,76'00,253,0.3
24428,3304,72 00,238,0.2
24438,3304,77#00,255,0.3
24448,3304,70%00,233,0.2
24458,3304,77#00,255,0.3
24468,3304,76'00,253,0.3
24478,3304,75$00,249,0.2
24488,3304,76800,254,253.7
24498,3304,74$00,246,0.2
24508,3304,76800,254,253.7
24518,3304,71!00,235,0.2
24528,3304,77#00,255,0.3
24538,3304,70 00,231,0.2
24548,3304,77"00,255,0.3
24558,3304,76'00,253,0.3
24568,3304,74900,247,247.5
24578,3304,76'00,253,0.3
24588,3304,74$00,246,0.2
24598,3304,77!00,255,0.3
24608,3304,70800,234,233.9
24618,3304,77#00,255,0.3
24628,3304,76800,254,253.7
24638,3304,76800,254,253.7
24648,3304,76800,254,253.7
24658,3304,74&00,246,0.2
24668,3304,76800,254,253.7
24678,3304,74"00,245,0.2
24688,3304,77#00,255,0.3
24698,3304,70'00,234,0.2
24708,3304,77$00,256,0.3
24718,3304,76800,254,253.7
24728,3304,76#00,252,0.3
24738,3304,76800,254,253.7
24748,3304,74%00,246,0.2
24758,3300,76800,253,253.4
24768,3304,73#00,242,0.2
24778,3304,77#00,255,0.3
24788,3304,70'00,234,0.2
24798,3304,77$00,256,0.3
24808,3304,76800,254,253.7
24818,3304,76"00,252,0.3
24828,3304,76800,254,253.7
24838,3304,74$00,246,0.2
24848,3304,76'00,253,0.3
24858,3304,72$00,239,0.2
24868,3304,77300,255,255.4
24878,3304,70&00,233,0.2
24888,3304,77"00,255,0.3
24898,3304,76800,254,253.7
24908,3304,75%00,249,0.2
24918,3304,76'00,253,0.3
24928,3304,74$00,246,0.2
24938,3304,76'00,253,0.3
24948,3304,71%00,236,0.2
24958,3304,77$00,256,0.3
24968,3304,70"00,232,0.2
24978,3304,77$00,256,0.3
24988,3304,76'00,253,0.3
24998,3304,75!00,248,0.2
25036,3304,76'00,253,0.3
25037,3304,74$00,246,0.2
25037,3304,76900,254,254.1
25038,3304,70900,234,234.3
25048,3304,77#00,255,0.3
25058,3300,76800,253,253.4
25068,3304,77 00,254,0.3
25078,3304,76800,254,253.7
25088,3304,74800,247,247.1
25098,3304,76'00,253,0.3
25108,3304,74$00,246,0.2
25118,3304,77!00,255,0.3
25128,3304,70'00,234,0.2
25138,3304,77$00,256,0.3
25148,3304,76800,254,253.7
25158,3304,76$00,252,0.3
25168,3304,76'00,253,0.3
25178,3304,74&00,246,0.2
25188,3304,76800,254,253.7
25198,3304,73'00,244,0.2
25208,3304,77#00,255,0.3
25218,3304,70'00,234,0.2
25228,3304,77$00,256,0.3
25238,3304,76800,254,253.7
25248,3304,76"00,252,0.3
25258,3304,76'00,253,0.3
25268,3304,74$00,246,0.2
25278,3304,76'00,253,0.3
25288,3304,72800,241,240.5
25298,3304,77"00,255,0.3
25308,3304,70%00,233,0.2
25318,3304,77#00,255,0.3
25328,3304,76700,253,253.4
25338,3304,76 00,251,0.3
25348,3304,76'00,253,0.3
25358,3304,74$00,246,0.2
25368,3304,76800,254,253.7
25378,3304,71900,238,237.6
25388,3304,77#00,255,0.3
25398,3304,70$00,233,0.2
25408,3304,77#00,255,0.3
25418,3304,76'00,253,0.3
25428,3304,75#00,249,0.2
25438,3300,76'00,253,0.3
25448,3304,74$00,246,0.2
25458,3304,76800,254,253.7
25468,3304,71!00,235,0.2
25478,3304,77#00,255,0.3
25488,3304,70 00,231,0.2
25498,3304,77"00,255,0.3
25508,3304,76800,254,253.7
25518,3304,75 00,248,0.2
25528,3304,76'00,253,0.3
25538,3304,74#00,245,0.2
25548,3304,77!00,255,0.3
25558,3304,70800,234,233.9
25568,3304,77#00,255,0.3
25578,3304,76800,254,253.7
25588,3304,76'00,253,0.3
25598,3304,76'00,253,0.3
25608,3304,74'00,247,0.2
25618,3304,76'00,253,0.3
25628,3304,74!00,245,0.2
25638,3304,77#00,255,0.3
25648,3300,70&00,233,0.2
25658,3304,77#00,255,0.3
25668,3304,76'00,253,0.3
25678,3304,76"00,252,0.3
25688,3304,76800,254,253.7
25698,3304,74$00,246,0.2
25708,3304,76'00,253,0.3
25718,3304,73"00,242,0.2
25728,3304,77#00,255,0.3
25738,3304,70&00,233,0.2
25748,3304,77#00,255,0.3
25758,3304,76800,254,253.7
25768,3304,76"00,252,0.3
25778,3304,76800,254,253.7
25788,3304,74300,245,245.5
25798,3304,76800,254,253.7
25808,3304,72#00,239,0.2
25818,3304,77$00,256,0.3
25828,3304,70'00,234,0.2
25838,3304,77#00,255,0.3
25848,3304,76900,254,254.1
25858,3304,75'00,250,0.2
25868,3304,76800,254,253.7
25878,3304,74$00,246,0.2
25888,3304,76'00,253,0.3
25898,3304,71$00,236,0.2
25908,3304,77#00,255,0.3
25918,3304,70"00,232,0.2
25928,3304,77#00,255,0.3
25938,3304,76800,254,253.7
25948,3304,75!00,248,0.2
25958,3304,76800,254,253.7
25968,3304,74$00,246,0.2
25978,3304,77 00,254,0.3
25988,3304,70900,234,234.3
25998,3304,77#00,255,0.3
26008,3304,76800,254,253.7
26018,3304,77 00,254,0.3
26028,3304,76800,254,253.7
26038,3304,74800,247,247.1
26048,3304,76800,254,253.7
26058,3304,74$00,246,0.2
26068,3304,77"00,255,0.3
26078,3304,70'00,234,0.2
26088,3304,77#00,255,0.3
26098,3304,76800,254,253.7
26108,3304,76%00,253,0.3
26118,3304,76'00,253,0.3
26128,3304,74%00,246,0.2
26138,3304,76800,254,253.7
26148,3304,73'00,244,0.2
26158,3304,77"00,255,0.3
26168,3304,70&00,233,0.2
26178,3304,77#00,255,0.3
26188,3304,76'00,253,0.3
26198,3304,76"00,252,0.3
26208,3304,76800,254,253.7
26218,3304,74%00,246,0.2
26228,3304,76'00,253,0.3
26238,3304,72'00,240,0.2
26248,3304,77#00,255,0.3
26258,3304,70&00,233,0.2
26268,3304,77#00,255,0.3
26278,3304,76'00,253,0.3
26288,3304,75900,251,250.8
26298,3304,76800,254,253.7
26308,3304,74#00,245,0.2
26318,3304,76'00,253,0.3
26328,3304,71800,237,237.2
26338,3304,77#00,255,0.3
26348,3304,70$00,233,0.2
26358,3304,77#00,255,0.3
26368,3304,76'00,253,0.3
26378,3304,75#00,249,0.2
26388,3304,76800,254,253.7
26398,3304,74#00,245,0.2
26408,3304,76800,254,253.7
26418,3304,71 00,235,0.2
26428,3304,77"00,255,0.3
26438,3304,69900,231,230.9
26448,3304,77!00,255,0.3
26458,3304,76'00,253,0.3
26468,3304,74800,247,247.1
26478,3304,76'00,253,0.3
26488,3304,74$00,246,0.2
26498,3304,77!00,255,0.3
26508,3304,70'00,234,0.2
26518,3304,77#00,255,0.3
26528,3304,76800,254,253.7
26538,3304,76'00,253,0.3
26548,3304,76'00,253,0.3
26558,3304,74&00,246,0.2
26568,3304,76'00,253,0.3
26578,3304,74!00,245,0.2
26588,3304,77"00,255,0.3
