ms,mv,uA,p_mW
3648,3304,77"00,255,0.3
3658,3304,70&00,233,0.2
3668,3304,77#00,255,0.3
3678,3304,76'00,253,0.3
3688,3304,76%00,253,0.3
3698,3304,76'00,253,0.3
3708,3304,74%00,246,0.2
3718,3304,76'00,253,0.3
3728,3304,73&00,243,0.2
3738,3304,77"00,255,0.3
3748,3304,70&00,233,0.2
3758,3304,77#00,255,0.3
3768,3304,76'00,253,0.3
3778,3304,76"00,252,0.3
3788,3304,76'00,253,0.3
3798,3304,74$00,246,0.2
3808,3304,76'00,253,0.3
3818,3304,72&00,240,0.2
3828,3304,77#00,255,0.3
3838,3304,70&00,233,0.2
3848,3304,77#00,255,0.3
3858,3304,76800,254,253.7
3868,3304,75800,250,250.4
3878,3304,76800,254,253.7
3888,3304,74$00,246,0.2
3898,3304,76'00,253,0.3
3908,3304,71'00,237,0.2
3918,3304,77#00,255,0.3
3928,3304,70#00,232,0.2
3938,3304,77$00,256,0.3
3948,3304,76'00,253,0.3
3958,3304,75"00,248,0.2
3968,3304,76'00,253,0.3
3978,3304,74#00,245,0.2
3988,3304,76800,254,253.7
3998,3304,71 00,235,0.2
4008,3304,77$00,256,0.3
4018,3300,69800,230,230.3
4028,3304,77 00,254,0.3
4038,3304,76'00,253,0.3
4048,3304,74900,247,247.5
4058,3304,76800,254,253.7
4068,3304,74#00,245,0.2
4078,3304,77!00,255,0.3
4088,3304,70800,234,233.9
4098,3304,77#00,255,0.3
4108,3304,76'00,253,0.3
4118,3304,76%00,253,0.3
4128,3304,76'00,253,0.3
4138,3308,74&00,247,0.2
4148,3304,76'00,253,0.3
4158,3304,73800,244,243.8
4168,3300,77#00,255,0.3
4178,3300,70&00,233,0.2
4188,3304,77#00,255,0.3
4198,3304,76'00,253,0.3
4208,3304,76#00,252,0.3
4218,3304,76'00,253,0.3
4228,3304,74$00,246,0.2
4238,3304,76'00,253,0.3
4248,3304,72800,241,240.5
4258,3304,77"00,255,0.3
4268,3304,70&00,233,0.2
4278,3304,77#00,255,0.3
4288,3304,76800,254,253.7
4298,3304,76 00,251,0.3
4308,3300,76'00,253,0.3
4318,3304,74$00,246,0.2
4328,3304,76'00,253,0.3
4338,3304,71900,238,237.6
4348,3304,77#00,255,0.3
4358,3304,70%00,233,0.2
4368,3304,77#00,255,0.3
4378,3304,76'00,253,0.3
4388,3304,75#00,249,0.2
4398,3304,76800,254,253.7
4408,3304,74$00,246,0.2
4418,3304,76800,254,253.7
4428,3304,71!00,235,0.2
4438,3304,77#00,255,0.3
4448,3304,69900,231,230.9
4458,3304,77"00,255,0.3
4468,3304,76'00,253,0.3
4478,3304,74900,247,247.5
4488,3304,76800,254,253.7
4498,3304,74#00,245,0.2
4508,3304,77!00,255,0.3
4518,3304,70'00,234,0.2
4528,3304,77$00,256,0.3
4538,3304,76800,254,253.7
4548,3304,76&00,253,0.3
4558,3304,76800,254,253.7
4568,3304,74&00,246,0.2
4578,3304,76800,254,253.7
4588,3304,73900,244,244.2
4598,3304,77"00,255,0.3
4608,3304,70'00,234,0.2
4618,3304,77$00,256,0.3
4628,3304,76'00,253,0.3
4638,3304,76#00,252,0.3
4648,3304,76'00,253,0.3
4658,3304,74$00,246,0.2
4668,3304,76800,254,253.7
4678,3304,73 00,241,0.2
4688,3304,77"00,255,0.3
4698,3304,70%00,233,0.2
4708,3304,77#00,255,0.3
4718,3304,76800,254,253.7
4728,3304,76 00,251,0.3
4738,3304,76'00,253,0.3
4748,3304,74#00,245,0.2
4758,3304,76'00,253,0.3
4768,3304,72 00,238,0.2
4778,3304,77#00,255,0.3
4788,3304,70%00,233,0.2
4798,3304,77#00,255,0.3
4808,3304,76'00,253,0.3
4818,3304,75$00,249,0.2
4828,3304,76'00,253,0.3
4838,3304,74$00,246,0.2
4848,3304,76'00,253,0.3
4858,3304,71"00,235,0.2
4868,3304,77#00,255,0.3
4878,3304,70 00,231,0.2
4888,3304,77"00,255,0.3
4898,3304,76'00,253,0.3
4908,3304,74900,247,247.5
4918,3300,76'00,253,0.3
4928,3304,74$00,246,0.2
4938,3304,77 00,254,0.3
4948,3304,70'00,234,0.2
4958,3304,77#00,255,0.3
4968,3304,76800,254,253.7
4978,3304,76&00,253,0.3
4988,3304,76'00,253,0.3
4998,3304,74&00,246,0.2
5008,3304,76'00,253,0.3
5018,3304,74100,245,244.8
5028,3300,77"00,255,0.3
5038,3304,70'00,234,0.2
5048,3304,77$00,256,0.3
5058,3304,76'00,253,0.3
5068,3304,76#00,252,0.3
5078,3304,76'00,253,0.3
5088,3304,74%00,246,0.2
5098,3304,76'00,253,0.3
5108,3304,73!00,242,0.2
5118,3304,77#00,255,0.3
5128,3304,70%00,233,0.2
5138,3304,77"00,255,0.3
5148,3304,76800,254,253.7
5158,3304,76"00,252,0.3
5168,3304,76800,254,253.7
5178,3304,74$00,246,0.2
