ms,voltage,current,power
2147,3.304,59.6,197.0
2150,3.304,59.6,197.0
2162,3.304,59.8,198.0
2165,3.304,58.6,193.0
2171,3.296,58.3,193.0
2177,3.304,59.9,198.0
2180,3.300,58.8,193.0
2191,3.304,59.5,197.0
2194,3.304,58.7,193.0
2200,3.292,58.9,195.0
2203,3.296,59.6,197.0
2206,3.304,59.3,197.0
2209,3.304,58.9,195.0
2224,3.304,59.0,195.0
2239,3.304,59.5,197.0
2248,3.304,60.6,200.0
2251,3.304,60.5,200.0
2253,3.304,59.9,198.0
2256,3.296,59.2,195.0
2262,3.304,59.9,198.0
2265,3.304,59.1,195.0
2271,3.296,58.3,192.0
2277,3.304,58.9,195.0
2280,3.304,58.6,193.0
2286,3.296,59.4,197.0
2292,3.304,59.3,197.0
2295,3.304,58.0,192.0
2310,3.304,58.5,193.0
2324,3.304,59.5,197.0
2333,3.304,59.6,197.0
2348,3.300,59.6,197.0
2351,3.304,58.9,195.0
2357,3.296,58.9,195.0
2363,3.300,59.1,195.0
2366,3.304,58.0,192.0
2372,3.296,58.6,193.0
2378,3.304,59.8,198.0
2381,3.304,58.5,193.0
2386,3.292,58.7,193.0
2392,3.304,59.9,198.0
2395,3.304,59.0,195.0
2401,3.296,59.4,197.0
2404,3.296,59.7,197.0
2410,3.308,59.6,197.0
2419,3.304,59.6,197.0
2425,3.304,59.9,198.0
2437,3.304,59.4,197.0
2440,3.300,59.5,197.0
2443,3.296,59.5,198.0
2452,3.304,59.4,197.0
2457,3.296,58.3,192.0
2463,3.304,59.8,198.0
2466,3.304,59.2,195.0
2472,3.296,58.2,192.0
2475,3.296,59.8,198.0
2478,3.304,58.7,193.0
2481,3.304,58.7,193.0
2487,3.296,59.4,197.0
2493,3.304,59.5,197.0
2511,3.304,58.9,195.0
2525,3.304,59.7,197.0
2549,3.304,59.5,197.0
2552,3.304,59.0,195.0
2558,3.296,59.1,195.0
2564,3.304,58.7,193.0
2567,3.304,58.1,192.0
2573,3.296,58.8,195.0
2582,3.304,58.2,192.0
2588,3.296,58.6,195.0
2596,3.304,58.9,195.0
2605,3.304,59.6,197.0
2611,3.304,59.5,197.0
2620,3.304,59.6,197.0
2638,3.304,59.1,195.0
2646,3.296,58.9,195.0
2650,3.304,59.9,198.0
2653,3.304,58.8,193.0
2658,3.296,58.0,192.0
2664,3.304,59.5,197.0
2667,3.304,59.0,195.0
2673,3.292,58.4,193.0
2676,3.296,59.8,198.0
2679,3.304,59.3,197.0
2682,3.304,59.0,195.0
2691,3.296,59.9,198.0
2697,3.304,58.7,193.0
2712,3.304,59.2,195.0
2726,3.304,59.8,197.0
2738,3.304,59.6,197.0
2744,3.296,59.0,193.0
2750,3.304,59.4,197.0
2753,3.300,59.0,195.0
2759,3.296,58.9,195.0
2765,3.300,58.6,193.0
2774,3.292,59.3,197.0
2780,3.304,59.5,197.0
2783,3.304,58.0,192.0
2797,3.304,58.6,193.0
2806,3.300,59.8,198.0
2821,3.304,59.6,197.0
2836,3.304,59.3,197.0
2839,3.304,58.3,192.0
2845,3.296,58.7,193.0
2851,3.304,59.7,197.0
2854,3.304,58.5,193.0
2860,3.296,58.1,192.0
2868,3.304,59.3,197.0
2880,3.304,59.1,195.0
2883,3.304,58.9,195.0
2889,3.296,58.6,193.0
2892,3.296,59.8,198.0
2895,3.304,59.1,195.0
2898,3.304,58.4,193.0
2907,3.304,59.8,198.0
2913,3.304,58.6,193.0
2928,3.304,59.5,197.0
2931,3.296,59.9,197.0
2945,3.296,59.3,195.0
2951,3.304,59.5,197.0
2954,3.304,59.3,197.0
2960,3.296,58.8,195.0
2966,3.304,58.7,193.0
2969,3.304,58.0,192.0
2975,3.292,59.3,197.0
2981,3.304,59.4,197.0
2999,3.304,58.5,193.0
3013,3.304,59.5,197.0
3022,3.304,59.6,197.0
3037,3.304,59.7,197.0
3040,3.300,59.3,197.0
3046,3.296,59.4,195.0
3052,3.304,59.7,197.0
3055,3.304,58.5,193.0
3061,3.296,58.1,193.0
3067,3.304,59.6,197.0
3069,3.304,58.9,195.0
3075,3.296,58.1,192.0
3078,3.296,59.9,198.0
3081,3.304,59.3,197.0
3084,3.304,58.7,193.0
3090,3.296,59.1,195.0
3093,3.292,59.8,197.0
3096,3.304,59.5,197.0
3099,3.304,58.5,193.0
3114,3.304,59.1,195.0
3129,3.304,59.4,197.0
3132,3.296,59.9,197.0
3146,3.296,58.7,193.0
3155,3.304,59.2,195.0
3161,3.296,58.9,193.0
3167,3.304,58.6,193.0
3170,3.304,58.5,193.0
3176,3.296,59.1,195.0
3182,3.304,59.2,195.0
3200,3.304,58.2,192.0
3223,3.304,59.7,197.0
3238,3.304,59.6,197.0
3241,3.300,59.0,195.0
3247,3.296,59.5,197.0
3253,3.304,59.4,197.0
3256,3.300,58.3,192.0
3262,3.296,58.5,193.0
3268,3.304,59.7,197.0
3271,3.304,58.6,193.0
3276,3.296,58.1,192.0
3282,3.304,59.8,198.0
3285,3.304,58.6,193.0
3291,3.296,59.1,195.0
3294,3.296,59.8,198.0
3300,3.304,58.9,195.0
3309,3.304,59.8,198.0
3315,3.304,59.4,197.0
3327,3.304,59.6,197.0
3333,3.296,59.0,195.0
3347,3.296,58.4,192.0
3353,3.304,59.3,197.0
3356,3.304,58.9,195.0
3362,3.292,58.4,193.0
3368,3.304,58.6,193.0
3371,3.304,58.5,193.0
3383,3.304,59.9,198.0
3386,3.304,58.1,192.0
3401,3.304,59.0,195.0
3415,3.304,59.8,198.0
3424,3.304,59.9,198.0
3439,3.304,59.6,197.0
3442,3.304,58.7,193.0
3448,3.296,58.8,195.0
3454,3.304,59.0,195.0
3457,3.304,58.1,192.0
3463,3.296,59.0,195.0
3472,3.304,58.3,192.0
3477,3.296,59.8,198.0
3486,3.304,59.1,195.0
3495,3.304,59.7,197.0
3510,3.304,59.7,197.0
3525,3.304,59.6,197.0
3528,3.300,58.8,195.0
3534,3.296,58.5,193.0
3540,3.304,59.8,198.0
3543,3.304,58.9,195.0
3548,3.296,57.8,192.0
3554,3.304,59.4,197.0
3557,3.304,58.7,193.0
3563,3.296,58.9,193.0
3566,3.296,59.7,197.0
3569,3.304,59.4,197.0
3572,3.304,58.8,193.0
3587,3.304,58.7,193.0
3602,3.304,59.3,195.0
3619,3.296,58.6,193.0
3628,3.304,59.1,195.0
3634,3.296,58.4,192.0
3640,3.304,58.6,193.0
3643,3.300,58.6,193.0
3649,3.296,59.2,195.0
3655,3.304,59.2,195.0
3658,3.304,58.0,192.0
3673,3.304,58.3,193.0
3696,3.304,59.6,197.0
3705,3.300,59.9,198.0
3711,3.304,59.5,197.0
