ms,voltage,current,power
1056,3.288,6.0,0.0
1059,3.232,1.0,0.0
1062,3.236,1.0,0.0
1065,3.284,6.0,0.0
1068,3.296,6.0,0.0
1071,3.296,6.0,0.0
1074,3.300,6.0,0.0
1077,3.300,6.0,0.0
1080,3.300,6.0,0.0
1083,3.300,6.0,0.0
1085,3.292,6.0,0.0
1088,3.296,6.0,0.0
1091,3.300,6.0,0.0
1094,3.300,6.0,0.0
1098,3.300,65.2,213.0
1101,3.296,63.7,210.0
1104,3.300,6.0,0.0
1107,3.296,6.0,0.0
1110,3.296,6.0,0.0
1113,3.296,6.0,0.0
1116,3.300,6.0,0.0
1119,3.300,6.0,0.0
1122,3.304,6.0,0.0
1125,3.296,6.0,0.0
1128,3.292,6.0,0.0
1131,3.300,6.0,0.0
1134,3.300,6.0,0.0
1137,3.300,6.0,0.0
1140,3.300,6.0,0.0
1149,3.292,6.0,0.0
1150,3.292,6.0,0.0
1151,3.300,6.0,0.0
1152,3.300,6.0,0.0
1155,3.304,6.0,0.0
1158,3.296,6.0,0.0
1160,3.296,6.0,0.0
1163,3.300,6.0,0.0
1167,3.300,1.0,0.0
1170,3.228,2.0,0.0
1173,3.200,1.0,0.0
1175,3.296,6.0,0.0
1178,3.292,6.0,0.0
1181,3.300,6.0,0.0
1184,3.300,6.0,0.0
1187,3.300,6.0,0.0
1190,3.296,6.0,0.0
1193,3.296,6.0,0.0
1196,3.300,6.0,0.0
1199,3.300,6.0,0.0
1202,3.304,6.0,0.0
1205,3.300,6.0,0.0
1208,3.296,6.0,0.0
1211,3.296,6.0,0.0
1214,3.300,6.0,0.0
1218,3.284,6.0,0.0
1221,3.296,6.0,0.0
1224,3.300,6.0,0.0
1227,3.300,6.0,0.0
1230,3.300,68.0,213.0
1233,3.296,6.0,0.0
1236,3.292,6.0,0.0
1239,3.304,6.0,0.0
1242,3.300,6.0,0.0
1245,3.304,6.0,0.0
1248,3.296,6.0,0.0
1250,3.292,6.0,0.0
1253,3.300,6.0,0.0
1256,3.300,6.0,0.0
1259,3.300,6.0,0.0
1262,3.300,6.0,0.0
1265,3.296,6.0,0.0
1268,3.292,6.0,0.0
1271,3.300,6.0,0.0
1274,3.228,1.0,0.0
1277,3.208,1.0,0.0
1280,3.228,6.0,0.0
1283,3.296,6.0,0.0
1286,3.300,6.0,0.0
1289,3.300,6.0,0.0
1292,3.300,6.0,0.0
1295,3.300,68.3,215.0
1298,3.292,6.0,0.0
1301,3.292,6.0,0.0
1304,3.300,6.0,0.0
1307,3.300,6.0,0.0
1310,3.300,6.0,0.0
1314,3.296,7.0,0.0
1317,3.300,6.0,0.0
1320,3.304,6.0,0.0
1323,3.296,6.0,0.0
1326,3.292,6.0,0.0
1329,3.300,6.0,0.0
1332,3.300,6.0,0.0
1335,3.300,6.0,0.0
1338,3.296,6.0,0.0
1341,3.292,6.0,0.0
1344,3.292,6.0,0.0
1346,3.300,6.0,0.0
1349,3.300,6.0,0.0
1352,3.300,7.0,0.0
1355,3.296,6.0,0.0
1358,3.296,6.0,0.0
1361,3.300,6.0,0.0
1364,3.300,6.0,0.0
1367,3.304,6.0,0.0
1370,3.296,6.0,0.0
1373,3.292,6.0,0.0
1376,3.288,1.0,0.0
1379,3.232,1.0,0.0
1382,3.192,2.0,0.0
1385,3.304,7.0,0.0
1388,3.296,6.0,0.0
1391,3.296,6.0,0.0
1394,3.300,6.0,0.0
1397,3.300,6.0,0.0
1400,3.304,6.0,0.0
1403,3.296,6.0,0.0
1406,3.292,6.0,0.0
1410,3.280,7.0,0.0
1413,3.296,6.0,0.0
1416,3.296,6.0,0.0
1419,3.300,6.0,0.0
1422,3.300,6.0,0.0
1425,3.300,6.0,0.0
1428,3.300,6.0,0.0
1430,3.296,6.0,0.0
1433,3.296,6.0,0.0
1436,3.304,6.0,0.0
1439,3.300,6.0,0.0
1442,3.300,69.5,216.0
1445,3.292,6.0,0.0
1449,3.292,6.0,0.0
1451,3.300,6.0,0.0
1454,3.300,6.0,0.0
1457,3.300,6.0,0.0
1460,3.296,6.0,0.0
1463,3.292,6.0,0.0
1466,3.300,6.0,0.0
1469,3.300,6.0,0.0
1472,3.300,6.0,0.0
1475,3.300,6.0,0.0
1478,3.236,1.0,0.0
1481,3.224,2.0,0.0
1484,3.176,2.0,0.0
1487,3.300,6.0,0.0
1490,3.304,6.0,0.0
1493,3.296,6.0,0.0
1496,3.296,6.0,0.0
1499,3.300,6.0,0.0
1502,3.300,6.0,0.0
1506,3.300,6.0,0.0
1509,3.292,6.0,0.0
1511,3.300,6.0,0.0
1514,3.300,6.0,0.0
1517,3.300,6.0,0.0
1520,3.292,6.0,0.0
1523,3.300,6.0,0.0
1527,3.300,6.0,0.0
1529,3.300,6.0,0.0
1532,3.300,68.5,215.0
1535,3.296,6.0,0.0
1538,3.292,6.0,0.0
1541,3.300,6.0,0.0
1544,3.296,6.0,0.0
1547,3.300,6.0,0.0
1550,3.296,6.0,0.0
1553,3.296,6.0,0.0
1556,3.304,6.0,0.0
1559,3.300,6.0,0.0
1562,3.300,6.0,0.0
1565,3.296,6.0,0.0
1568,3.292,6.0,0.0
1571,3.296,6.0,0.0
1574,3.300,6.0,0.0
1577,3.300,6.0,0.0
1580,3.296,7.0,0.0
1583,3.224,1.0,0.0
1586,3.208,1.0,0.0
1589,3.300,6.0,0.0
1592,3.300,6.0,0.0
1595,3.300,6.0,0.0
1598,3.296,6.0,0.0
1602,3.292,1.0,0.0
1604,3.304,6.0,0.0
1607,3.296,6.0,0.0
1610,3.292,6.0,0.0
1613,3.300,6.0,0.0
1616,3.300,6.0,0.0
1619,3.300,6.0,0.0
1622,3.300,68.2,215.0
1625,3.292,6.0,0.0
1628,3.292,6.0,0.0
1631,3.300,6.0,0.0
1634,3.300,6.0,0.0
1637,3.300,6.0,0.0
1640,3.296,64.0,215.0
