subject_id,alpha,W,n_windows,ccs_mean,ccs_std,s_mean,s_std,switches,switch_rate,share_100,share_500,share_2000
08_ccs,0.6,5,659,0.8819499241274658,0.17892888361821918,0.9441578148710166,0.1318998998945424,34,0.051593323216995446,0.24279210925644917,0.051593323216995446,0.7056145675265554
09_ccs,0.6,5,677,0.9118875036927622,0.11950308219161451,0.9940915805022157,0.033864058802734645,28,0.0413589364844904,0.19793205317577547,0.09453471196454949,0.707533234859675
10_ccs,0.6,5,666,0.8753469969969969,0.13365511569125005,0.9555555555555555,0.1388738730621637,52,0.07807807807807808,0.3003003003003003,0.12312312312312312,0.5765765765765766
01_ccs,0.6,7,694,0.8529697529847675,0.17596546134065594,0.9444215726636475,0.12751692032414874,72,0.1037463976945245,0.31412103746397696,0.12103746397694524,0.5648414985590778
02_ccs,0.6,7,704,0.8724717167207792,0.15238483825745108,0.9281655844155844,0.15715709039195624,56,0.07954545454545454,0.26988636363636365,0.15625,0.5738636363636364
03_ccs,0.6,7,698,0.9084052967662711,0.12266961863202527,0.9668440442079411,0.09946955185898165,74,0.10601719197707736,0.18051575931232092,0.15472779369627507,0.664756446991404
04_ccs,0.6,7,697,0.8921969952859192,0.14840311649925333,0.9717155154744824,0.08635362908552002,50,0.07173601147776183,0.27546628407460544,0.05308464849354376,0.6714490674318508
05_ccs,0.6,7,669,0.9345326201153108,0.09953452530548994,0.9897501601537475,0.044376943709126385,41,0.061285500747384154,0.12705530642750373,0.11958146487294469,0.7533632286995515
06_ccs,0.6,7,634,0.9112727489860297,0.1253454585509261,0.989184317260027,0.04408118705953124,18,0.028391167192429023,0.2444794952681388,0.031545741324921134,0.7239747634069401
07_ccs,0.6,7,670,0.8966446268656716,0.1246488934018452,0.991044776119403,0.038777843083357744,42,0.0626865671641791,0.2462686567164179,0.11641791044776119,0.6373134328358209
08_ccs,0.6,7,659,0.8803544331237807,0.1780045139467798,0.9401690873618036,0.12523016829313274,28,0.042488619119878605,0.2549317147192716,0.04704097116843703,0.6980273141122914
09_ccs,0.6,7,677,0.9117186917071112,0.11931365919420457,0.9936695505380881,0.029398560045356584,29,0.04283604135893648,0.19497784342688332,0.09748892171344166,0.707533234859675
10_ccs,0.6,7,666,0.8740771557271557,0.1346105755346438,0.9523809523809524,0.14285714285714282,54,0.08108108108108109,0.2987987987987988,0.13213213213213212,0.5690690690690691
01_ccs,0.7,3,694,0.8414330115273776,0.19339432302003434,0.9567723342939481,0.13529330944444382,85,0.12247838616714697,0.3170028818443804,0.10662824207492795,0.5763688760806917
02_ccs,0.7,3,704,0.8679783664772728,0.15572583084863081,0.9441287878787878,0.15191412905191362,68,0.09659090909090909,0.2727272727272727,0.15056818181818182,0.5767045454545454
03_ccs,0.7,3,698,0.9008759025787967,0.13832861572532035,0.9742120343839542,0.10542612971573354,84,0.12034383954154727,0.1833810888252149,0.13753581661891118,0.6790830945558739
04_ccs,0.7,3,697,0.8808295408895267,0.16581476051160068,0.9780009564801532,0.09695189700185895,55,0.07890961262553801,0.27116212338593976,0.06025824964131994,0.6685796269727403
05_ccs,0.7,3,669,0.926013019431988,0.11582444223343241,0.9920279023418038,0.05708023315045216,49,0.07324364723467862,0.14947683109118087,0.09865470852017937,0.7518684603886397
06_ccs,0.7,3,634,0.8990085331230285,0.1448762294103616,0.9915878023133545,0.05228097957794344,18,0.028391167192429023,0.2476340694006309,0.031545741324921134,0.7208201892744479
07_ccs,0.7,3,670,0.8815082835820895,0.14481148152677426,0.9930348258706468,0.05103808399296382,52,0.07761194029850746,0.27313432835820894,0.1044776119402985,0.6223880597014926
08_ccs,0.7,3,659,0.8743740515933232,0.19238051100617187,0.9534648457258473,0.1318815099334975,30,0.04552352048558422,0.2488619119878604,0.042488619119878605,0.708649468892261
09_ccs,0.7,3,677,0.8984822451994091,0.13878936427559063,0.9950763170851799,0.0402117518249048,39,0.05760709010339734,0.21418020679468242,0.0915805022156573,0.6942392909896603
10_ccs,0.7,3,666,0.8642011261261261,0.14253647683211065,0.962962962962963,0.12772082408597862,72,0.10810810810810811,0.31681681681681684,0.13513513513513514,0.5480480480480481
01_ccs,0.7,5,694,0.8388393515850145,0.1952824400722917,0.9481268011527377,0.1326550250815729,85,0.12247838616714697,0.3242074927953891,0.1037463976945245,0.5720461095100865
02_ccs,0.7,5,704,0.86462609375,0.15945007384739612,0.9329545454545454,0.15464151426406914,63,0.08948863636363637,0.2741477272727273,0.1590909090909091,0.5667613636363636
03_ccs,0.7,5,698,0.8993286246418337,0.13924873864475124,0.9690544412607449,0.10470025390587306,85,0.12177650429799428,0.19054441260744986,0.1303724928366762,0.6790830945558739
04_ccs,0.7,5,697,0.8795095982783357,0.1673991799880476,0.9736011477761836,0.0921157427936106,56,0.08034433285509325,0.27546628407460544,0.054519368723098996,0.6700143472022956
05_ccs,0.7,5,669,0.9255346935724963,0.1148991675792599,0.9904334828101644,0.05039120931334515,49,0.07324364723467862,0.15246636771300448,0.09566517189835576,0.7518684603886397
06_ccs,0.7,5,634,0.8985038012618297,0.144690650095783,0.9899053627760253,0.04921135646687697,17,0.026813880126182965,0.2476340694006309,0.028391167192429023,0.7239747634069401
07_ccs,0.7,5,670,0.8810903731343283,0.1446226974600012,0.9916417910447761,0.04427178660647739,51,0.07611940298507462,0.27313432835820894,0.10149253731343283,0.6253731343283582
08_ccs,0.7,5,659,0.8715819423368739,0.1940009567648208,0.9441578148710166,0.1318998998945424,32,0.048558421851289835,0.2488619119878604,0.042488619119878605,0.708649468892261
09_ccs,0.7,5,677,0.89818682422452,0.138683599723642,0.9940915805022157,0.033864058802734645,38,0.056129985228951254,0.21418020679468242,0.08862629246676514,0.6971935007385525
10_ccs,0.7,5,666,0.8619789039039041,0.14361772696519196,0.9555555555555555,0.1388738730621637,66,0.0990990990990991,0.3303303303303303,0.11861861861861862,0.551051051051051
01_ccs,0.7,7,694,0.8377277830382874,0.19393343530806562,0.9444215726636475,0.12751692032414874,79,0.1138328530259366,0.3227665706051873,0.12680115273775217,0.5504322766570605
02_ccs,0.7,7,704,0.8631894054383117,0.15957220995199664,0.9281655844155844,0.15715709039195624,60,0.08522727272727272,0.27982954545454547,0.15198863636363635,0.5681818181818182
