ms,mV,µA,p_mW
# meta, firmware=TXSD_PowerLogger_PASS_THRU_OFF_v1, trial_index=1, adv_interval_ms=0
4153,3280,05%400,0.0
4163,3284,06&700,0.0
4173,3280,05&000,0.0
4183,3284,07 100,0.0
4193,3280,05&500,0.0
4203,3280,05%800,0.0
4213,3284,059400,195.1
4223,3276,08$600,0.0
4233,3284,06"100,0.0
4243,3280,05%400,0.0
4253,3236,06'500,0.0
4263,3280,05%900,0.0
4273,3284,068700,225.6
4283,3284,05&100,0.0
4293,3280,05&400,0.0
4303,3284,058500,192.1
4313,3284,05%500,0.0
4323,3236,06!800,0.0
4333,3280,05%500,0.0
4343,3284,06$600,0.0
4353,3096,18%800,0.1
4363,3284,06'400,0.0
4373,3280,05&000,0.0
4383,3280,07 300,0.0
4393,3280,05'500,0.0
4403,3276,055600,182.1
4413,3284,06 300,0.0
4423,3272,08#400,0.0
4433,3280,06#200,0.0
4443,3280,05%500,0.0
4453,3140,15$000,0.0
4463,3280,05&000,0.0
4473,3284,07 000,0.0
4483,3280,05&400,0.0
4493,3280,05%800,0.0
4503,3284,059100,194.1
4513,3280,05%400,0.0
4523,3240,06"300,0.0
4533,3280,05%500,0.0
4543,3284,06%900,0.0
4553,3276,11$500,0.0
4563,3284,068500,225.0
4573,3280,05&000,0.0
4583,3284,05&400,0.0
4593,3280,058400,191.6
4603,3280,05%500,0.0
4613,3280,06 800,0.0
4623,3272,08!900,0.0
4633,3284,06$400,0.0
4643,3280,05%400,0.0
4653,3284,06&700,0.0
4663,3144,14&200,0.0
4673,3280,07 400,0.0
4683,3280,05'300,0.0
4693,3280,05%600,0.0
4703,3284,06 100,0.0
4713,3280,05%500,0.0
4723,3244,06#200,0.0
4733,3280,05%500,0.0
4743,3284,06&800,0.0
4753,3280,05%700,0.0
4763,3148,15$800,0.0
4773,3284,05&300,0.0
4783,3280,05&100,0.0
4793,3284,059000,193.8
4803,3280,05%400,0.0
4813,3284,06!600,0.0
4823,3268,08 100,0.0
4833,3284,06%600,0.0
4843,3280,05%400,0.0
4853,3284,06&800,0.0
4863,3280,05&100,0.0
4873,3020,15!400,0.0
4883,3280,058400,191.6
4893,3276,05%500,0.0
4903,3284,06 700,0.0
4913,3280,05%400,0.0
4923,3244,06$100,0.0
4933,3280,05%500,0.0
4943,3284,06&700,0.0
4953,3280,05&000,0.0
4963,3280,068900,226.0
4973,3140,14#900,0.0
4983,3280,05%600,0.0
4993,3284,06 100,0.0
5003,3280,05%400,0.0
5013,3284,06"500,0.0
5023,3264,078100,254.9
5033,3284,06&800,0.0
5043,3280,05%700,0.0
5053,3280,06'600,0.0
5063,3280,05&100,0.0
5073,3280,07"600,0.0
5083,3284,059100,194.1
5093,3280,05%400,0.0
5103,3284,06!400,0.0
5113,3280,05%500,0.0
5123,3248,06%500,0.0
5133,3280,05%500,0.0
5143,3280,06&600,0.0
5153,3280,05&100,0.0
5163,3284,07 200,0.0
5173,3280,05&600,0.0
5183,3128,06$400,0.0
5193,3284,06 700,0.0
5203,3280,05%500,0.0
5213,3284,06#700,0.0
5223,3260,076000,247.8
5233,3280,06'100,0.0
5243,3280,05%900,0.0
5253,3280,068800,225.7
5263,3284,05&100,0.0
5273,3280,05&400,0.0
5283,3284,058600,192.4
5293,3012,12%200,0.0
5303,3284,06"400,0.0
5313,3280,05%400,0.0
5323,3252,06&900,0.0
5333,3280,05%600,0.0
5343,3284,06'400,0.0
5353,3280,05&100,0.0
5363,3284,07 300,0.0
5373,3280,05'700,0.0
5383,3276,05%600,0.0
5393,3144,14$700,0.0
5403,3280,05%400,0.0
5413,3280,06%100,0.0
5423,3260,07#700,0.0
5433,3284,06'000,0.0
5443,3280,05&000,0.0
5453,3280,07 000,0.0
5463,3280,05&400,0.0
5473,3280,05%900,0.0
5483,3284,059200,194.4
5493,3280,05%500,0.0
5503,3036,14"700,0.0
5513,3280,05%400,0.0
5523,3256,06'800,0.0
5533,3280,05%900,0.0
5543,3284,068500,225.0
5553,3280,05&100,0.0
5563,3280,05&400,0.0
5573,3284,058400,191.8
5583,3280,05%500,0.0
5593,3284,06 700,0.0
5603,3280,05%500,0.0
5613,3112,20 000,0.1
5623,3256,07!800,0.0
5633,3284,06'400,0.0
5643,3280,05&000,0.0
5653,3280,07 300,0.0
5663,3280,05'400,0.0
5673,3276,05%600,0.0
5683,3280,06 200,0.0
5693,3280,05%400,0.0
5703,3284,06"700,0.0
5713,3280,05%400,0.0
5723,3116,24!400,0.1
