ms,mV,uA,p_mW,program_id
# meta, firmware=TXSD_UCCS_D3_SCAN70, cond_id=2, tag=s4_fixed500, subject=uccs_d3_scan70
57641,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
57651,4912,56400,277.0,TXSD_UCCS_D3_SCAN70_v1
57661,4912,56900,279.5,TXSD_UCCS_D3_SCAN70_v1
57672,4740,143800,681.6,TXSD_UCCS_D3_SCAN70_v1
57681,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
57691,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
57701,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
57711,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
57721,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
57731,4908,55500,272.4,TXSD_UCCS_D3_SCAN70_v1
57741,4912,57000,280.0,TXSD_UCCS_D3_SCAN70_v1
57751,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
57761,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
57771,4792,152100,728.9,TXSD_UCCS_D3_SCAN70_v1
57781,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
57791,4912,55900,274.6,TXSD_UCCS_D3_SCAN70_v1
57801,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
57811,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
57821,4912,56500,277.5,TXSD_UCCS_D3_SCAN70_v1
57831,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
57841,4912,56500,277.5,TXSD_UCCS_D3_SCAN70_v1
57851,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
57861,4912,55600,273.1,TXSD_UCCS_D3_SCAN70_v1
57871,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
57881,4728,141400,668.5,TXSD_UCCS_D3_SCAN70_v1
57891,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
57901,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
57911,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
57921,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
57931,4828,57100,275.7,TXSD_UCCS_D3_SCAN70_v1
57941,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
57951,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
57961,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
57971,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
57981,4732,141500,669.6,TXSD_UCCS_D3_SCAN70_v1
57991,4916,56500,277.8,TXSD_UCCS_D3_SCAN70_v1
58001,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
58011,4912,56400,277.0,TXSD_UCCS_D3_SCAN70_v1
58021,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
58031,4896,56500,276.6,TXSD_UCCS_D3_SCAN70_v1
58041,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
58051,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
58061,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
58071,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
58081,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
58091,4748,218200,1036.0,TXSD_UCCS_D3_SCAN70_v1
58101,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
58111,4912,55600,273.1,TXSD_UCCS_D3_SCAN70_v1
58121,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
58131,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
58141,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
58151,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
58161,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
58171,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
58181,4912,56500,277.5,TXSD_UCCS_D3_SCAN70_v1
58191,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
58201,4744,154800,734.4,TXSD_UCCS_D3_SCAN70_v1
58211,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
58221,4912,56400,277.0,TXSD_UCCS_D3_SCAN70_v1
58231,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
58241,4912,55600,273.1,TXSD_UCCS_D3_SCAN70_v1
58251,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
58261,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
58271,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
58281,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
58291,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
58301,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
58311,4756,137200,652.5,TXSD_UCCS_D3_SCAN70_v1
58321,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
58331,4860,57200,278.0,TXSD_UCCS_D3_SCAN70_v1
58341,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
58351,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
58361,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
58371,4912,56400,277.0,TXSD_UCCS_D3_SCAN70_v1
58381,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
58391,4916,56500,277.8,TXSD_UCCS_D3_SCAN70_v1
58401,4912,56500,277.5,TXSD_UCCS_D3_SCAN70_v1
58411,4912,56700,278.5,TXSD_UCCS_D3_SCAN70_v1
58421,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
58431,4896,55500,271.7,TXSD_UCCS_D3_SCAN70_v1
58441,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
58451,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
58461,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
58471,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
58481,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
58491,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
58501,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
58511,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
58521,4908,117400,576.2,TXSD_UCCS_D3_SCAN70_v1
58531,4912,55700,273.6,TXSD_UCCS_D3_SCAN70_v1
58542,4912,56400,277.0,TXSD_UCCS_D3_SCAN70_v1
58551,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
58561,4912,56500,277.5,TXSD_UCCS_D3_SCAN70_v1
58571,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
58581,4912,56500,277.5,TXSD_UCCS_D3_SCAN70_v1
58591,4912,57000,280.0,TXSD_UCCS_D3_SCAN70_v1
58601,4912,55800,274.1,TXSD_UCCS_D3_SCAN70_v1
58611,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
58621,4912,58200,285.9,TXSD_UCCS_D3_SCAN70_v1
58631,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
58641,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
58651,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
58661,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
58671,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
58681,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
58691,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
58701,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
58711,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
58721,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
58731,4736,146000,691.5,TXSD_UCCS_D3_SCAN70_v1
58741,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
58751,4912,56500,277.5,TXSD_UCCS_D3_SCAN70_v1
58761,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
58771,4912,56400,277.0,TXSD_UCCS_D3_SCAN70_v1
58781,4912,57000,280.0,TXSD_UCCS_D3_SCAN70_v1
58791,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
58801,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
58811,4908,55500,272.4,TXSD_UCCS_D3_SCAN70_v1
58821,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
58831,4736,138700,656.9,TXSD_UCCS_D3_SCAN70_v1
58841,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
58851,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
58861,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
58871,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
58881,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
58891,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
58901,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
58911,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
58921,4916,56400,277.3,TXSD_UCCS_D3_SCAN70_v1
58931,4736,141000,667.8,TXSD_UCCS_D3_SCAN70_v1
58941,4752,146500,696.2,TXSD_UCCS_D3_SCAN70_v1
58951,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
58961,4912,56500,277.5,TXSD_UCCS_D3_SCAN70_v1
58971,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
58981,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
58991,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
59001,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
59011,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
59021,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
59031,4916,59800,294.0,TXSD_UCCS_D3_SCAN70_v1
59041,4728,141400,668.5,TXSD_UCCS_D3_SCAN70_v1
59051,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
59061,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
59071,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
59081,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
59091,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
59101,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
59111,4916,56500,277.8,TXSD_UCCS_D3_SCAN70_v1
59121,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
59131,4888,56500,276.2,TXSD_UCCS_D3_SCAN70_v1
59141,4724,143700,678.8,TXSD_UCCS_D3_SCAN70_v1
59151,4912,56500,277.5,TXSD_UCCS_D3_SCAN70_v1
59161,4916,57200,281.2,TXSD_UCCS_D3_SCAN70_v1
59171,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
59181,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
59191,4908,55500,272.4,TXSD_UCCS_D3_SCAN70_v1
59201,4912,57200,281.0,TXSD_UCCS_D3_SCAN70_v1
59211,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
59221,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
59231,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
59241,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
59251,4808,153800,739.5,TXSD_UCCS_D3_SCAN70_v1
59261,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
59271,4908,55600,272.9,TXSD_UCCS_D3_SCAN70_v1
59281,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
59291,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
59301,4912,56500,277.5,TXSD_UCCS_D3_SCAN70_v1
59311,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
59321,4912,56500,277.5,TXSD_UCCS_D3_SCAN70_v1
59331,4912,56800,279.0,TXSD_UCCS_D3_SCAN70_v1
59341,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
59351,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
59361,4728,139200,658.1,TXSD_UCCS_D3_SCAN70_v1
59371,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
59381,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
59391,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
59401,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
59412,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
59421,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
59431,4836,57100,276.1,TXSD_UCCS_D3_SCAN70_v1
59441,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
59451,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
59461,4728,139300,658.6,TXSD_UCCS_D3_SCAN70_v1
59471,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
59481,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
59491,4912,56500,277.5,TXSD_UCCS_D3_SCAN70_v1
59501,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
59511,4912,56500,277.5,TXSD_UCCS_D3_SCAN70_v1
59521,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
59531,4892,55700,272.5,TXSD_UCCS_D3_SCAN70_v1
