ms,mV,uA,p_mW,program_id
# meta, firmware=TXSD_UCCS_D3_SCAN70, cond_id=4, tag=unk, subject=uccs_d3_scan70
143791,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
143801,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
143811,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
143821,4908,55800,273.9,TXSD_UCCS_D3_SCAN70_v1
143832,4908,59000,289.6,TXSD_UCCS_D3_SCAN70_v1
143841,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
143851,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
143861,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
143871,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
143881,4912,55800,274.1,TXSD_UCCS_D3_SCAN70_v1
143891,4912,57200,281.0,TXSD_UCCS_D3_SCAN70_v1
143901,4908,56400,276.8,TXSD_UCCS_D3_SCAN70_v1
143911,4912,56700,278.5,TXSD_UCCS_D3_SCAN70_v1
143921,4912,56300,276.5,TXSD_UCCS_D3_SCAN70_v1
143931,4912,56600,278.0,TXSD_UCCS_D3_SCAN70_v1
143941,4720,208700,985.1,TXSD_UCCS_D3_SCAN70_v1
143951,4912,55800,274.1,TXSD_UCCS_D3_SCAN70_v1
143961,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
143971,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
143981,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
143991,4908,55600,272.9,TXSD_UCCS_D3_SCAN70_v1
144001,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
144011,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
144021,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
144031,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
144041,4744,148100,702.6,TXSD_UCCS_D3_SCAN70_v1
144051,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
144061,4912,57200,281.0,TXSD_UCCS_D3_SCAN70_v1
144071,4908,56300,276.3,TXSD_UCCS_D3_SCAN70_v1
144081,4912,56600,278.0,TXSD_UCCS_D3_SCAN70_v1
144091,4908,56300,276.3,TXSD_UCCS_D3_SCAN70_v1
144101,4912,56700,278.5,TXSD_UCCS_D3_SCAN70_v1
144111,4908,56500,277.3,TXSD_UCCS_D3_SCAN70_v1
144121,4912,56600,278.0,TXSD_UCCS_D3_SCAN70_v1
144131,4912,57200,281.0,TXSD_UCCS_D3_SCAN70_v1
144141,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
144151,4912,148700,730.4,TXSD_UCCS_D3_SCAN70_v1
144161,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
144171,4912,57200,281.0,TXSD_UCCS_D3_SCAN70_v1
144181,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
144191,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
144201,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
144211,4912,57200,281.0,TXSD_UCCS_D3_SCAN70_v1
