ms,mV,uA,p_mW,program_id
# meta, firmware=TXSD_UCCS_D3_SCAN70, cond_id=3, tag=s4_policy, subject=uccs_d3_scan70
# meta, policy=actions{100,500} u_mid=0.20 u_high=0.35 c_mid=0.20 c_high=0.35 hyst=0.02 ema_alpha=0.20 ccs_inverted=true preamble_guard=true
169021,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
169031,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
169041,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
169051,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
169061,4912,56900,279.5,TXSD_UCCS_D3_SCAN70_v1
169071,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
169081,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
169091,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
169101,4916,56200,276.3,TXSD_UCCS_D3_SCAN70_v1
169111,4912,55900,274.6,TXSD_UCCS_D3_SCAN70_v1
169121,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
169131,4912,55900,274.6,TXSD_UCCS_D3_SCAN70_v1
169141,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
169151,4912,55900,274.6,TXSD_UCCS_D3_SCAN70_v1
169161,4912,56300,276.5,TXSD_UCCS_D3_SCAN70_v1
169171,4912,56900,279.5,TXSD_UCCS_D3_SCAN70_v1
169181,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
169191,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
169201,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
169211,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
169221,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
169231,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
169241,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
169251,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
169261,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
169271,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
169281,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
169291,4916,56300,276.8,TXSD_UCCS_D3_SCAN70_v1
169301,4912,56000,275.1,TXSD_UCCS_D3_SCAN70_v1
169311,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
169321,4912,56000,275.1,TXSD_UCCS_D3_SCAN70_v1
169331,4912,56300,276.5,TXSD_UCCS_D3_SCAN70_v1
169341,4912,56000,275.1,TXSD_UCCS_D3_SCAN70_v1
169351,4916,56200,276.3,TXSD_UCCS_D3_SCAN70_v1
169361,4912,56900,279.5,TXSD_UCCS_D3_SCAN70_v1
169371,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
169381,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
169391,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
169401,4912,56900,279.5,TXSD_UCCS_D3_SCAN70_v1
169411,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
169421,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
169431,4912,55200,271.1,TXSD_UCCS_D3_SCAN70_v1
169441,4916,70200,345.1,TXSD_UCCS_D3_SCAN70_v1
169451,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
169461,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
169471,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
169481,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
169491,4912,56000,275.1,TXSD_UCCS_D3_SCAN70_v1
169501,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
169511,4912,56000,275.1,TXSD_UCCS_D3_SCAN70_v1
169521,4916,56300,276.8,TXSD_UCCS_D3_SCAN70_v1
169532,4912,56900,279.5,TXSD_UCCS_D3_SCAN70_v1
169541,4916,56300,276.8,TXSD_UCCS_D3_SCAN70_v1
169551,4912,56900,279.5,TXSD_UCCS_D3_SCAN70_v1
169561,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
169571,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
169581,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
169591,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
169601,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
169611,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
169621,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
169631,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
169641,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
169651,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
169661,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
169671,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
169681,4912,55900,274.6,TXSD_UCCS_D3_SCAN70_v1
169691,4752,216000,1026.4,TXSD_UCCS_D3_SCAN70_v1
169701,4912,56000,275.1,TXSD_UCCS_D3_SCAN70_v1
169711,4912,56300,276.5,TXSD_UCCS_D3_SCAN70_v1
169721,4912,55900,274.6,TXSD_UCCS_D3_SCAN70_v1
169731,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
169741,4912,56800,279.0,TXSD_UCCS_D3_SCAN70_v1
169751,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
169761,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
169771,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
169781,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
169791,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
169801,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
169811,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
169821,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
169831,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
169841,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
